Station ,VA Facility Name,Service Descriptor,NumAuths,NumVets
402,Maine VA - Togus,Referrals unmatched to a service category,55,51
402,Maine VA - Togus,Acupuncture,209,188
402,Maine VA - Togus,Acute Inpatient Hospital,1028,736
402,Maine VA - Togus,Adult Day Care,92,91
402,Maine VA - Togus,Allergy and Immunology,21,21
402,Maine VA - Togus,Anesthesia,1,1
402,Maine VA - Togus,Audiology,24,22
402,Maine VA - Togus,Bowel and Bladder Treatment & Rehabilitation,21,21
402,Maine VA - Togus,Cardiac Catheterization Services,4,4
402,Maine VA - Togus,Cardiac Rehab,100,96
402,Maine VA - Togus,Cardiology,126,85
402,Maine VA - Togus,Cardiology Imaging,11,11
402,Maine VA - Togus,Cardiology Stress Test,12,12
402,Maine VA - Togus,Chiropractic,477,430
402,Maine VA - Togus,Dental,2085,889
402,Maine VA - Togus,Dermatology,760,676
402,Maine VA - Togus,Diagnostic Radiology,584,526
402,Maine VA - Togus,Diagnostic Radiology CT,130,120
402,Maine VA - Togus,Diagnostic Radiology Dexa Scan,18,18
402,Maine VA - Togus,Diagnostic Radiology MRI/MRA,1238,1079
402,Maine VA - Togus,Diagnostic Radiology PET,95,89
402,Maine VA - Togus,Diagnostic Radiology Ultrasound,91,78
402,Maine VA - Togus,ENT,1058,987
402,Maine VA - Togus,Endocrinology,497,371
402,Maine VA - Togus,GYN,41,26
402,Maine VA - Togus,Gastroenterology,829,711
402,Maine VA - Togus,Gastroenterology Colonoscopy,1245,1198
402,Maine VA - Togus,General Surgery,1117,624
402,Maine VA - Togus,Genetic Testing/Counseling,2,2
402,Maine VA - Togus,Home Health Homemaker/Health Aid,688,643
402,Maine VA - Togus,Hospice,99,93
402,Maine VA - Togus,Hyperbaric Therapy,3,2
402,Maine VA - Togus,Infectious Disease,2,2
402,Maine VA - Togus,Internal Medicine,28,28
402,Maine VA - Togus,Laboratory,1248,996
402,Maine VA - Togus,Mammorgraphy,943,840
402,Maine VA - Togus,Mental Health,406,194
402,Maine VA - Togus,Nephrology,112,32
402,Maine VA - Togus,Neurology,498,472
402,Maine VA - Togus,Nuclear Medicine,4,4
402,Maine VA - Togus,Nutrition/Dietitics,2,1
402,Maine VA - Togus,OB,35,32
402,Maine VA - Togus,Oncology,351,88
402,Maine VA - Togus,Opthalmology,596,482
