date,PC_Avg_Wait_Time_Complete,SC_Avg_Wait_Time_Complete,MH_Avg_Wait_Time_Complete
1016,5.46,9.54,4.05
916,6.21,9.4,4.12
816,5.75,9.58,4.24
716,5.94,9.58,3.36
616,6.06,8.92,2.9
516,5.68,8.73,2.69
416,5,8.9,2.8
316,5.16,8.55,3.02
216,5.42,8.19,3.66
116,6.08,8.75,3.79
1215,5.4,7.84,4.21
1115,5.16,7.84,4.14
1015,4.96,7.73,3.41
915,5.08,7.48,3.56
815,4.97,7.79,3.78
715,4.74,7.66,3.41
615,4.63,6.98,2.86
515,4.55,6.24,2.51
415,4.95,5.61,2.72
315,4.24,5.86,2.84
215,3.95,6.32,2.62
115,3.93,7.91,2.85
1214,4.17,6.98,3.5
1114,4.52,7.17,2.96
1014,4.06,6.85,4.03
914,4.64,6.68,4.49
