station_id,facility_id,name,visn_id,ref_date,main_facility,new_enrollee,ewl_count,ewl_under_14,ewl_under_30,ewl_under_60,ewl_under_90,ewl_under_120,ewl_over_120
402,99999,"togus, me",01,2015-04-15,0,0,56,35,14,5,0,0,2
402,402,togus,01,2015-04-15,1,0,48,27,14,5,0,0,2
402,402GA,aroostook county (caribou),01,2015-04-15,0,0,2,2,0,0,0,0,0
402,402GB,calais,01,2015-04-15,0,0,0,0,0,0,0,0,0
402,402GC,rumford,01,2015-04-15,0,0,0,0,0,0,0,0,0
402,402GD,saco,01,2015-04-15,0,0,1,1,0,0,0,0,0
402,402GE,lewiston auburn,01,2015-04-15,0,0,0,0,0,0,0,0,0
402,402HB,bangor,01,2015-04-15,0,0,3,3,0,0,0,0,0
402,402HC,portland outreach clinic-cdrp sat,01,2015-04-15,0,0,2,2,0,0,0,0,0
402,402HL,r&c healthcare moc,01,2015-04-15,0,0,0,0,0,0,0,0,0
405,99999,"white river junction, vt",01,2015-04-15,0,0,49,7,19,6,5,9,2
405,405,white river jct,01,2015-04-15,1,0,8,4,2,0,0,0,2
405,405GA,bennington,01,2015-04-15,0,0,0,0,0,0,0,0,0
405,405GC,brattleboro,01,2015-04-15,0,0,0,0,0,0,0,0,0
405,405HA,burlington lakeside,01,2015-04-15,0,0,10,1,9,0,0,0,0
405,405HC,vicc - st. johnsbury - littleton,01,2015-04-15,0,0,6,0,3,1,1,1,0
405,405HD,vicc - newport,01,2015-04-15,0,0,0,0,0,0,0,0,0
405,405HE,keene (orc),01,2015-04-15,0,0,20,0,4,5,3,8,0
405,405HF,rutland,01,2015-04-15,0,0,4,2,1,0,1,0,0
405,405QB,newport,01,2015-04-15,0,0,1,0,0,0,0,0,0
518,99999,"bedford, ma",01,2015-04-15,0,31,101,8,3,6,9,6,69
518,518,bedford,01,2015-04-15,1,0,101,8,3,6,9,6,69
518,518GA,lynns/north shore,01,2015-04-15,0,0,0,0,0,0,0,0,0
518,518GB,haverhill,01,2015-04-15,0,0,0,0,0,0,0,0,0
518,518GE,gloucester,01,2015-04-15,0,0,0,0,0,0,0,0,0
523,99999,"va boston hcs, ma",01,2015-04-15,0,3,437,80,90,94,29,25,118
523,523,va boston hcs- boston div.,01,2015-04-15,1,0,274,64,34,31,22,18,104
523,523A4,va boston hcs-west roxbury div.,01,2015-04-15,0,0,12,1,3,0,2,3,3
523,523A5,brockton vamc,01,2015-04-15,0,0,21,8,1,2,1,4,5
523,523BY,lowell,01,2015-04-15,0,0,4,0,0,1,0,0,3
523,523BZ,causeway clinic (boston),01,2015-04-15,0,0,126,7,52,60,4,0,3
523,523GA,framingham va primary care unit,01,2015-04-15,0,0,0,0,0,0,0,0,0
523,523GC,quincy,01,2015-04-15,0,0,0,0,0,0,0,0,0
523,523GD,plymouth,01,2015-04-15,0,0,0,0,0,0,0,0,0
523,523MA,ides hanscom afb,01,2015-04-15,0,0,0,0,0,0,0,0,0
608,99999,"manchester, nh",01,2015-04-15,0,4,42,8,6,10,5,3,9
608,608,manchester,01,2015-04-15,1,0,34,7,4,8,5,2,7
608,608GA,portsmouth,01,2015-04-15,0,0,0,0,0,0,0,0,0
608,608GC,somersworth,01,2015-04-15,0,0,4,1,0,2,0,0,1
608,608GD,conway,01,2015-04-15,0,0,3,0,1,0,0,1,1
608,608HA,tilton,01,2015-04-15,0,0,1,0,1,0,0,0,0
608,608MA,ides manchester vamc,01,2015-04-15,0,0,0,0,0,0,0,0,0
631,99999,va central western massachusetts hcs,01,2015-04-15,0,3,136,29,38,38,25,2,4
631,631,va central western massachusetts h,01,2015-04-15,1,3,91,19,21,29,16,2,4
631,631BY,springfield,01,2015-04-15,0,0,13,3,7,1,2,0,0
631,631GC,pittsfield,01,2015-04-15,0,0,0,0,0,0,0,0,0
631,631GD,greenfield (franklin county),01,2015-04-15,0,0,0,0,0,0,0,0,0
631,631GE,worcester,01,2015-04-15,0,0,32,7,10,8,7,0,0
631,631GF,fitchburg,01,2015-04-15,0,0,0,0,0,0,0,0,0
631,631MA,ides keller army community hos,01,2015-04-15,0,0,0,0,0,0,0,0,0
650,99999,"providence, ri",01,2015-04-15,0,20,26,17,3,2,1,2,1
650,650,providence,01,2015-04-15,1,0,22,15,3,1,1,2,0
650,650GA,new bedford primary care ctr.,01,2015-04-15,0,0,1,0,0,0,0,0,1
650,650GB,hyannis primary care center,01,2015-04-15,0,0,3,2,0,1,0,0,0
650,650GD,middletown,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,99999,"va connecticut hcs, ct",01,2015-04-15,0,17,6,0,1,2,1,0,2
689,689,west haven,01,2015-04-15,1,0,6,0,1,2,1,0,2
689,689A4,newington campus,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689GA,waterbury va primary care cente,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689GB,stamford va primary care center,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689GC,willimantic cboc,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689GD,winsted va primary care,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689GE,danbury,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689HC,new london va primary care cen,01,2015-04-15,0,0,0,0,0,0,0,0,0
689,689PB,west haven cwttr,01,2015-04-15,0,0,0,0,0,0,0,0,0
