ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16
VHA,268699,272538,283338,294444,307430,318560
VHACO,10444,12947,14778,16194,17840,18438
(V01) (402) HCS TOGUS ME,1293,1272,1248,1283,1335,1446
(V01) (405) MROC WHT RIVER JCT VT,852,853,881,921,1022,1177
(V01) (478) V1HCSBEDFORD MA,30,36,34,53,48,42
(V01) (518) MC BEDFORD MA,1313,1265,1245,1251,1297,1352
(V01) (523) HCS BOSTON MA,4022,4011,4041,4032,4123,4303
(V01) (608) MC MANCHESTER NH,663,683,691,686,759,803
(V01) (631) MC NORTHAMPTON MA,639,726,767,795,803,876
(V01) (650) MC PROVIDENCE RI,1215,1262,1279,1342,1406,1474
(V01) (689) HCS WEST HAVEN CT,2477,2541,2623,2812,2926,2972
(V02) (479) V2HCNALBANY NY,22,48,55,48,47,50
(V02) (528) HCS BUFFALO NY,6584,6624,6566,6678,6751,6735
(V03) (480) V3HCNNEW YORK NY,43,46,51,61,53,53
(V03) (526) MC BRONX NY,1898,1819,1756,1777,1827,1892
(V03) (561) HCS EAST ORANGE NJ,2795,2762,2820,2813,2805,2863
(V03) (620) HCS MONTROSE NY,1553,1532,1543,1557,1496,1471
(V03) (630) HCS NEW YORK NY,3650,3587,3547,3679,3668,3567
(V03) (632) MC NORTHPORT L I NY,1816,1856,1912,1895,1901,1875
(V04) (460) MROC WILMINGTON DE,916,916,941,933,940,915
(V04) (481) V4HCSPITTSBURGH PA,71,61,54,54,47,52
(V04) (503) MC ALTOONA PA,637,615,625,657,681,670
(V04) (529) MC BUTLER PA,589,569,565,574,571,577
(V04) (540) MC CLARKSBURG WV,820,814,860,881,890,927
(V04) (542) MC COATESVILLE PA,1373,1284,1261,1295,1275,1222
(V04) (562) MC ERIE PA,678,669,660,689,713,693
(V04) (595) MC LEBANON PA,1354,1383,1333,1385,1419,1468
(V04) (642) MC PHILADELPHIA PA,2192,2125,2202,2312,2374,2373
(V04) (646) HCS PITTSBURGH PA,3343,3119,3192,3406,3672,3647
(V04) (693) MC WILKES BARRE PA,1138,1123,1136,1198,1253,1256
(V05) (482) V5HCNLINTHICUM HTS MD,51,55,55,56,48,48
