,Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID,Station,for_dups
174,(V01) (402) HCS TOGUS ME,0602 Physician (All Specialties),9.97,9.55,11.33,14.74,7.81,,402,402
175,(V01) (402) HCS TOGUS ME,01 ANESTHESIOLOGY,37.5,77.42,0.0,0.0,0.0,,402,402
176,(V01) (402) HCS TOGUS ME,02 SURGERY,0.0,0.0,0.0,66.67,0.0,,402,402
177,(V01) (402) HCS TOGUS ME,07 ORTHOPEDIC SURGERY,0.0,29.27,0.0,0.0,0.0,,402,402
178,(V01) (402) HCS TOGUS ME,08 OTOLARYNGOLOGY,0.0,0.0,0.0,100.0,0.0,,402,402
179,(V01) (402) HCS TOGUS ME,12 UROLOGY,0.0,0.0,0.0,34.29,0.0,,402,402
180,(V01) (402) HCS TOGUS ME,16 EMERGENCY MEDICINE,0.0,29.63,21.82,21.05,0.0,,402,402
181,(V01) (402) HCS TOGUS ME,21 GEN INTERNAL MED,26.32,6.32,7.02,7.19,28.13,,402,402
182,(V01) (402) HCS TOGUS ME,25 GASTROENTEROLOGY,0.0,0.0,0.0,60.0,0.0,,402,402
183,(V01) (402) HCS TOGUS ME,26 PULMONARY DISEASES,0.0,0.0,27.27,68.57,0.0,,402,402
184,(V01) (402) HCS TOGUS ME,27 NEPHROLOGY,0.0,66.67,0.0,0.0,0.0,,402,402
185,(V01) (402) HCS TOGUS ME,29 ENDOCRIN AND METAB,0.0,0.0,0.0,100.0,0.0,,402,402
186,(V01) (402) HCS TOGUS ME,30 NEUROLOGY,37.5,0.0,0.0,34.29,0.0,,402,402
187,(V01) (402) HCS TOGUS ME,31 PSYCHIATRY,8.63,9.76,49.48,31.3,0.0,,402,402
188,(V01) (402) HCS TOGUS ME,38 RADIOLOGY-DIAGNOSTIC,0.0,0.0,57.14,0.0,50.0,,402,402
189,(V01) (402) HCS TOGUS ME,43 PATHOLOGY,57.14,0.0,0.0,0.0,0.0,,402,402
190,(V01) (402) HCS TOGUS ME,45 RADIOLOGY-INTERVENT,0.0,0.0,44.44,0.0,40.0,,402,402
191,(V01) (402) HCS TOGUS ME,48 RESEARCH,0.0,0.0,100.0,0.0,0.0,,402,402
192,(V01) (402) HCS TOGUS ME,49 FAMILY PRACTICE,0.0,13.33,0.0,11.01,23.53,,402,402
193,(V01) (402) HCS TOGUS ME,"57 PHYS--ADMIN, OTHER",0.0,100.0,0.0,0.0,0.0,,402,402
194,(V01) (402) HCS TOGUS ME,E6 CARDIOLOGY NON-INTER,0.0,0.0,0.0,0.0,23.08,,402,402
195,(V01) (402) HCS TOGUS ME,K6 HOSPITALIST,11.54,0.0,8.57,0.0,8.96,,402,402
196,(V01) (402) HCS TOGUS ME,R3 HEMATOLOGY/ONCOLOGY,0.0,0.0,70.59,0.0,0.0,,402,402
197,(V01) (405) MROC WHT RIVER JCT VT,0602 Physician (All Specialties),1.14,8.42,8.91,14.02,6.0,,405,405
198,(V01) (405) MROC WHT RIVER JCT VT,01 ANESTHESIOLOGY,0.0,0.0,0.0,46.15,23.53,,405,405
199,(V01) (405) MROC WHT RIVER JCT VT,02 SURGERY,0.0,0.0,0.0,23.08,0.0,,405,405
200,(V01) (405) MROC WHT RIVER JCT VT,07 ORTHOPEDIC SURGERY,0.0,0.0,0.0,30.77,35.29,,405,405
201,(V01) (405) MROC WHT RIVER JCT VT,08 OTOLARYNGOLOGY,0.0,0.0,26.67,0.0,0.0,,405,405
202,(V01) (405) MROC WHT RIVER JCT VT,12 UROLOGY,0.0,0.0,100.0,0.0,0.0,,405,405
203,(V01) (405) MROC WHT RIVER JCT VT,20 DERMATOLOGY,0.0,0.0,0.0,63.16,0.0,,405,405
204,(V01) (405) MROC WHT RIVER JCT VT,21 GEN INTERNAL MED,3.83,4.0,0.0,11.65,4.1,,405,405
205,(V01) (405) MROC WHT RIVER JCT VT,26 PULMONARY DISEASES,0.0,66.67,0.0,0.0,200.0,,405,405
206,(V01) (405) MROC WHT RIVER JCT VT,31 PSYCHIATRY,0.0,12.83,25.35,8.28,0.0,,405,405
207,(V01) (405) MROC WHT RIVER JCT VT,38 RADIOLOGY-DIAGNOSTIC,0.0,0.0,22.64,32.43,0.0,,405,405
208,(V01) (405) MROC WHT RIVER JCT VT,44 PHYS MED & REHAB,0.0,0.0,0.0,0.0,42.86,,405,405
209,(V01) (405) MROC WHT RIVER JCT VT,K3 NAT'L QUAL SCHOLARS,0.0,43.64,26.09,50.0,0.0,,405,405
210,(V01) (405) MROC WHT RIVER JCT VT,K6 HOSPITALIST,0.0,0.0,0.0,66.67,0.0,,405,405
211,(V01) (405) MROC WHT RIVER JCT VT,P1 PRIMARY CARE,0.0,19.35,25.0,0.0,0.0,,405,405
212,(V01) (518) MC BEDFORD MA,0602 Physician (All Specialties),6.2,8.59,4.09,8.14,7.89,,518,518
213,(V01) (518) MC BEDFORD MA,21 GEN INTERNAL MED,0.0,0.0,8.7,0.0,16.22,,518,518
214,(V01) (518) MC BEDFORD MA,30 NEUROLOGY,0.0,0.0,0.0,0.0,27.27,,518,518
215,(V01) (518) MC BEDFORD MA,31 PSYCHIATRY,10.76,10.91,5.8,5.53,0.0,,518,518
216,(V01) (518) MC BEDFORD MA,49 FAMILY PRACTICE,100.0,0.0,0.0,0.0,0.0,,518,518
217,(V01) (518) MC BEDFORD MA,51 CHIEF OF STAFF,0.0,100.0,0.0,0.0,0.0,,518,518
218,(V01) (518) MC BEDFORD MA,"57 PHYS--ADMIN, OTHER",0.0,70.59,0.0,0.0,0.0,,518,518
219,(V01) (518) MC BEDFORD MA,59 ASSOC COS AMBUL CARE,0.0,0.0,0.0,100.0,0.0,,518,518
220,(V01) (518) MC BEDFORD MA,H7 HLTH SVCS RESCH FELW,0.0,0.0,0.0,100.0,0.0,,518,518
221,(V01) (518) MC BEDFORD MA,MR MEDICAL RESEARCH,0.0,0.0,0.0,100.0,0.0,,518,518
222,(V01) (518) MC BEDFORD MA,P1 PRIMARY CARE,0.0,0.0,0.0,0.0,23.08,,518,518
223,(V01) (523) HCS BOSTON MA,0602 Physician (All Specialties),8.0,7.81,8.98,10.11,5.48,,523,523
224,(V01) (523) HCS BOSTON MA,01 ANESTHESIOLOGY,6.94,0.0,20.93,6.78,0.0,,523,523
225,(V01) (523) HCS BOSTON MA,02 SURGERY,8.51,7.95,17.91,0.0,0.0,,523,523
226,(V01) (523) HCS BOSTON MA,06 OPHTHALMOLOGY,8.45,16.55,18.46,8.45,0.0,,523,523
227,(V01) (523) HCS BOSTON MA,07 ORTHOPEDIC SURGERY,0.0,0.0,19.35,0.0,0.0,,523,523
228,(V01) (523) HCS BOSTON MA,08 OTOLARYNGOLOGY,35.29,0.0,0.0,0.0,0.0,,523,523
229,(V01) (523) HCS BOSTON MA,12 UROLOGY,20.34,0.0,22.64,21.05,0.0,,523,523
230,(V01) (523) HCS BOSTON MA,16 EMERGENCY MEDICINE,0.0,0.0,26.09,13.04,0.0,,523,523
231,(V01) (523) HCS BOSTON MA,18 HEMATOLOGY,0.0,0.0,0.0,35.29,0.0,,523,523
232,(V01) (523) HCS BOSTON MA,20 DERMATOLOGY,22.22,28.57,26.67,35.29,30.77,,523,523
