State_Full,Vet_Pop_State_9_30_14,State,Vet_Pop_State_9_30_34,Vet_Pop_State_Increase_20
Alabama,413618,AL,359097,-54521
Alaska,73397,AK,69480,-3917
Arizona                                                                                                                        ,532206,AZ,447300,-84905
Arkansas                                                                                                                       ,249274,AR,210720,-38555
California,1851470,CA,1150965,-700505
Colorado                                                                                                                       ,413271,CO,327186,-86086
Connecticut                                                                                                                      ,213420,CT,114469,-98951
Delaware                                                                                                                     ,78099,DE,62273,-15827
District of Columbia                                                                                                            ,29825,DC,23017,-6808
Florida                                                                                                                     ,1583697,FL,1149162,-434534
Georgia                                                                                                                     ,752882,GA,689620,-63262
Hawaii                                                                                                                     ,121007,HI,112872,-8134
Idaho                                                                                                               ,132395,ID,120807,-11588
Illinois                                                                                                               ,721575,IL,468704,-252871
Indiana                                                                                                               ,476283,IN,347447,-128835
Iowa                                                                                                              ,231655,IA,166442,-65213
Kansas                                                                                                             ,221206,KS,174590,-46616
Kentucky                                                                                                             ,330599,KY,273861,-56738
Louisiana                                                                                                        ,330145,LA,258416,-71729
Maine                                                                                                       ,127234,ME,88339,-38895
Maryland                                                                                                      ,437762,MD,322303,-115459
Massachusetts,379772,MA,202167,-177605
Michigan,658469,MI,369256,-289213
Minnesota,369149,MN,235608,-133541
Mississippi,220389,MS,189092,-31297
Missouri                                                                                                                       ,494346,MO,369758,-124588
Montana                                                                                                                        ,99646,MT,83067,-16580
Nebraska                                                                                                                       ,143375,NE,107348,-36027
Nevada                                                                                                                         ,228027,NV,172612,-55416
New Hampshire                                                                                                                  ,113660,NH,73499,-40161
New Jersey                                                                                                                    ,428396,NJ,214224,-214172
New Mexico                                                                                                                     ,171528,NM,141727,-29801
New York                                                                                                                      ,892221,NY,478116,-414106
North Carolina                                                                                                                ,775020,NC,696825,-78195
North Dakota                                                                                                                   ,57395,ND,52298,-5097
Ohio                                                                                                                           ,866481,OH,552571,-313909
Oklahoma                                                                                                                      ,337571,OK,292254,-45318
Oregon                                                                                                                         ,331632,OR,227671,-103962
Pennsylvania                                                                                                                   ,939069,PA,581357,-357713
Rhode Island                                                                                                                   ,71966,RI,40990,-30977
South Carolina                                                                                                                 ,417554,SC,381845,-35709
South Dakota                                                                                                                   ,72030,SD,67064,-4966
Tennessee                                                                                                                      ,506340,TN,422085,-84255
Texas                                                                                                                          ,1680418,TX,1527098,-153320
Utah                                                                                                                           ,151719,UT,134909,-16809
Vermont                                                                                                                        ,48602,VT,32123,-16479
Virginia                                                                                                                       ,781388,VA,776988,-4400
Washington                                                                                                                     ,603623,WA,492077,-111545
West Virginia                                                                                                                  ,167355,WV,131662,-35693
Wisconsin                                                                                                                     ,413723,WI,272099,-141624
Wyoming                                                                                                                        ,49708,WY,49874,167
Puerto Rico                                                                                                                   ,93240,,50194,-43047
,,,,
