Location,"Total Appts
Completed1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5","Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond 120
Days11","PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V01) (402) Togus, ME",24458,24050,0.9833,408,0.0167,"23,433",617,327,57,16,8,2.72,3.34,1.43
"(V01) (405) White River Junction, VT",19232,18929,0.9842,303,0.0158,"18,419",510,250,40,9,4,2.24,3.22,0.84
"(V01) (518) Bedford, MA",11976,11786,0.9841,190,0.0159,"11,357",429,166,18,6,0,0.88,5.3,3.67
"(V01) (523) VA Boston HCS, MA",45669,45188,0.9895,481,0.0105,"43,900","1,288",379,77,16,9,1.16,3.17,2.63
"(V01) (608) Manchester, NH",17616,17329,0.9837,287,0.0163,"16,714",615,246,39,2,0,2.49,3.65,3.01
(V01) (631) VA Central Western Massachusetts HCS,19536,18560,0.95,976,0.0500,"17,657",903,614,277,73,12,6.31,7.8,2.91
"(V01) (650) Providence, RI",28521,28115,0.9858,406,0.0142,"27,104","1,011",336,56,6,8,2.35,3.65,4.05
"(V01) (689) VA Connecticut HCS, CT",48622,47894,0.985,728,0.0150,"46,505","1,389",609,83,32,4,1.34,3.42,2.99
"(V02) (528) Albany, NY",24865,24646,0.9912,219,0.0088,"23,983",663,163,33,17,6,1.28,1.86,3.02
"(V02) (528) Bath, NY",13553,13302,0.9815,251,0.0185,"13,067",235,138,96,16,1,3.05,5.33,0.13
"(V02) (528) Western New York, NY",37616,36729,0.9764,887,0.0236,"35,159","1,570",771,85,25,6,3.26,3.52,3.91
"(V02) (528) Canandaigua, NY",13449,13183,0.9802,266,0.0198,"12,559",624,247,18,0,1,3.65,3.71,1.61
