Facility for October,"Total Appts
Completed
1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5",,"Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond
120 Days11",,"PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V01) (402) Togus, ME","26,444","26,120",98.77%,324,1.23%,,"25,179",941,262,50,12,0,,2.55,3.07,1.71
"(V01) (405) White River Junction, VT","20,048","19,845",98.99%,203,1.01%,,"19,340",505,156,40,5,2,,1.86,2.73,0.67
"(V01) (518) Bedford, MA","13,367","13,181",98.61%,186,1.39%,,"12,774",407,170,11,5,0,,0.76,4.69,2.53
"(V01) (523) VA Boston HCS, MA","51,263","50,861",99.22%,402,0.78%,,"49,375","1,486",313,78,10,1,,0.7,3.14,2.38
"(V01) (608) Manchester, NH","18,036","17,739",98.35%,297,1.65%,,"16,988",751,270,25,2,0,,2.62,3.83,3.16
(V01) (631) VA Central Western Massachusetts HCS,"21,504","20,468",95.18%,"1,036",4.82%,,"19,529",939,688,251,67,30,,5.83,7.51,2.64
"(V01) ( 650) Providence, RI","29,664","29,161",98.30%,503,1.70%,,"28,124","1,037",438,58,7,0,,3.65,3.41,3.72
"(V01) (689) VA Connecticut HCS, CT","50,792","50,100",98.64%,692,1.36%,,"48,659","1,441",527,137,26,2,,1.36,3.29,3.03
"(V02) (528) Albany, NY","28,535","28,301",99.18%,234,0.82%,,"27,652",649,186,32,9,7,,1.17,1.52,3.67
"(V02) (528) Bath, NY","14,280","14,068",98.52%,212,1.48%,,"13,815",253,120,82,10,0,,2.29,4.98,0.19
"(V02) (528) Western New York, NY","39,437","38,726",98.20%,711,1.80%,,"37,117","1,609",620,70,18,3,,2.96,3.04,3.56
"(V02) (528) Canandaigua, NY","15,107","14,929",98.82%,178,1.18%,,"14,234",695,163,13,2,0,,2.75,3.19,1.75
"(V03) (526) Bronx, NY","27,264","27,156",99.60%,108,0.40%,,"26,661",495,101,7,0,0,,1.48,1.64,1.17
"(V03) (561) New Jersey HCS, NJ","47,199","46,023",97.51%,"1,176",2.49%,,"44,148","1,875","1,031",129,16,0,,0.92,5.33,1.9
"(V03) (620) VA Hudson Valley HCS, NY","29,008","28,783",99.22%,225,0.78%,,"28,012",771,218,6,0,1,,1.86,2.64,1.33
"(V03) (630) New York Harbor HCS, NY","52,610","52,400",99.60%,210,0.40%,,"51,187","1,213",191,18,1,0,,0.91,1.73,0.82
"(V03) (632) Northport, NY","32,599","32,385",99.34%,214,0.66%,,"31,131","1,254",190,17,6,1,,3.01,3.46,0.67
"(V04) (460) Wilmington, DE","17,768","17,069",96.07%,699,3.93%,,"15,733","1,336",547,120,20,12,,5.95,6.37,3.02
"(V04) (503) Altoona, PA","15,565","15,304",98.32%,261,1.68%,,"14,885",419,132,123,4,2,,3.15,5.21,2.08
"(V04) (529) Butler, PA","9,237","9,235",99.98%,2,0.02%,,"9,195",40,2,0,0,0,,0.27,0.33,0.35
"(V04) (540) Clarksburg, WV","19,150","17,807",92.99%,"1,343",7.01%,,"16,671","1,136",792,426,107,18,,6.19,9.99,2.84
"(V04) (542) Coatesville, PA","16,585","16,538",99.72%,47,0.28%,,"16,334",204,46,0,0,1,,0.95,2.02,0.52
"(V04) (562) Erie, PA","20,358","20,095",98.71%,263,1.29%,,"19,701",394,255,8,0,0,,1.67,2.29,0.47
"(V04) (595) Lebanon, PA","27,631","27,383",99.10%,248,0.90%,,"26,291","1,092",222,20,6,0,,2.79,2.8,2.07
"(V04) (642) Philadelphia, PA","42,163","40,938",97.09%,"1,225",2.91%,,"38,873","2,065",684,290,147,104,,3.73,5.67,3.35
"(V04) (646) Pittsburgh, PA","37,583","37,041",98.56%,542,1.44%,,"35,605","1,436",450,79,12,1,,3.46,3.34,0.87
"(V04) (693) Wilkes-Barre, PA","30,660","30,533",99.59%,127,0.41%,,"30,143",390,120,7,0,0,,1.06,1,0.7
"(V05) (512) Baltimore HCS, MD","48,700","47,607",97.76%,"1,093",2.24%,,"45,801","1,806",900,161,30,2,,5.16,4.01,1.68
"(V05) (613) Martinsburg, WV","40,297","40,011",99.29%,286,0.71%,,"38,905","1,106",230,50,4,2,,2.09,2.81,1.45
"(V05) (688) Washington, DC","53,833","52,770",98.03%,"1,063",1.97%,,"49,997","2,773",893,147,21,2,,4.43,3.95,3.78
"(V06) (517) Beckley, WV","12,241","11,929",97.45%,312,2.55%,,"11,272",657,279,26,7,0,,2.86,6.03,3.24
"(V06) (558) Durham, NC","46,857","44,674",95.34%,"2,183",4.66%,,"41,432","3,242","1,842",277,55,9,,8.21,5.99,1.85
"(V06) (565) Fayetteville, NC","36,648","33,977",92.71%,"2,671",7.29%,,"31,631","2,346","1,313","1,304",40,14,,13.69,8.01,3.56
"(V06) (590) Hampton, VA","32,143","29,528",91.86%,"2,615",8.14%,,"26,414","3,114","2,154",398,42,21,,15.48,7.87,8.2
"(V06) (637) Asheville, NC","29,771","29,224",98.16%,547,1.84%,,"27,885","1,339",447,93,6,1,,2.41,4.05,3.63
"(V06) (652) Richmond, VA","44,841","43,952",98.02%,889,1.98%,,"42,082","1,870",730,129,25,5,,5.76,2.51,3.32
"(V06) (658) Salem, VA","32,951","32,478",98.56%,473,1.44%,,"31,590",888,315,136,21,1,,2.03,4.01,0.36
"(V06) (659) Salisbury, NC","59,171","57,452",97.09%,"1,719",2.91%,,"54,599","2,853","1,325",300,46,48,,2.66,5.2,5.98
"(V07) (508) Atlanta, GA","73,328","70,258",95.81%,"3,070",4.19%,,"67,223","3,035","2,172",856,33,9,,8.5,4.69,1.67
"(V07) (509) Augusta, GA","26,372","25,983",98.52%,389,1.48%,,"24,902","1,081",335,22,27,5,,3.66,3.79,0.92
"(V07) (521) Birmingham, AL","52,118","51,420",98.66%,698,1.34%,,"50,101","1,319",594,68,34,2,,0.93,4.67,1.33
"(V07) 5(34) Charleston, SC","52,627","52,207",99.20%,420,0.80%,,"51,308",899,334,76,10,0,,1.79,2.89,1.21
"(V07) (544) Columbia, SC","56,737","54,803",96.59%,"1,934",3.41%,,"51,368","3,435","1,525",342,62,5,,4.67,6.11,4.47
"(V07) (557) Dublin, GA","20,533","19,368",94.33%,"1,165",5.67%,,"18,168","1,200",780,365,20,0,,7.05,7.45,3.95
"(V07) (619) Central Alabama Veterans HCS, AL","30,810","28,056",91.06%,"2,754",8.94%,,"25,204","2,852","1,811",674,255,14,,7.88,12.56,9.02
"(V07) (679) Tuscaloosa, AL","11,106","11,069",99.67%,37,0.33%,,"10,880",189,29,7,1,0,,3.22,0.18,1.01
"(V08) (516) Bay Pines, FL","92,551","91,321",98.67%,"1,230",1.33%,,"88,455","2,866","1,045",163,19,3,,1.76,3.4,3.01
"(V08) (546) Miami, FL","56,407","55,712",98.77%,695,1.23%,,"54,344","1,368",574,116,3,2,,2.31,2.94,0.74
"(V08) (548) West Palm Beach, FL","57,266","56,375",98.44%,891,1.56%,,"54,645","1,730",726,117,45,3,,1.23,3.57,1.34
"(V08) (573) Gainesville, FL","97,274","90,543",93.08%,"6,731",6.92%,,"84,766","5,777","4,479","1,529",421,302,,5.84,10.14,2.19
"(V08) (672) San Juan, PR","81,038","80,707",99.59%,331,0.41%,,"79,804",903,251,31,44,5,,0.96,1.1,2.33
"(V08) (673) Tampa, FL","72,694","70,518",97.01%,"2,176",2.99%,,"68,137","2,381","1,296",707,156,17,,1.64,5.01,2.32
"(V08) (675) Orlando, FL","76,404","75,162",98.37%,"1,242",1.63%,,"73,824","1,338",863,311,49,19,,0.96,3.2,0.59
"(V09) (581) Huntington, WV","28,995","28,366",97.83%,629,2.17%,,"26,925","1,441",570,51,8,0,,4.6,3.4,1.72
"(V09) (596) Lexington, KY","30,344","29,335",96.67%,"1,009",3.33%,,"27,019","2,316",891,110,6,2,,3.06,6.48,3.66
"(V09) (603) Louisville, KY","39,818","39,517",99.24%,301,0.76%,,"38,661",856,260,33,8,0,,1.68,3.13,2.21
"(V09) (614) Memphis, TN","48,596","48,242",99.27%,354,0.73%,,"47,478",764,266,58,29,1,,0.81,2.06,1.71
"(V09) (621) Mountain Home, TN","39,165","38,336",97.88%,829,2.12%,,"37,177","1,159",616,164,37,12,,4.78,2.39,1.59
"(V09) (626) Middle Tennessee HCS, TN","65,726","63,320",96.34%,"2,406",3.66%,,"60,585","2,735","1,757",531,56,62,,5.85,3.73,4.52
"(V10) (538) Chillicothe, OH","19,129","18,310",95.72%,819,4.28%,,"17,242","1,068",611,191,13,4,,3.94,8.36,3.46
"(V10) (539) Cincinnati, OH","40,140","39,643",98.76%,497,1.24%,,"38,820",823,411,82,4,0,,1.07,3.41,0.9
"(V10) (541) Cleveland, OH","89,013","87,370",98.15%,"1,643",1.85%,,"83,468","3,902","1,560",74,6,3,,2.42,3.63,2.18
"(V10) (552) Dayton, OH","29,297","28,925",98.73%,372,1.27%,,"28,183",742,348,23,1,0,,0.59,3.34,1.1
"(V10) (757) Columbus, OH","36,546","35,296",96.58%,"1,250",3.42%,,"33,356","1,940",905,273,58,14,,3.54,5.97,1.63
"(V11) (506) Ann Arbor, MI","40,986","39,833",97.19%,"1,153",2.81%,,"38,336","1,497",913,189,43,8,,2.66,3.7,1.88
"(V11) (515) Battle Creek, MI","28,921","28,228",97.60%,693,2.40%,,"26,953","1,275",647,45,0,1,,1.37,5.44,1.21
"(V11) (550) Danville, IL","21,213","20,979",98.90%,234,1.10%,,"20,447",532,187,47,0,0,,1.85,2.18,1.7
"(V11) (553) Detroit, MI","32,349","32,139",99.35%,210,0.65%,,"31,751",388,186,15,9,0,,0.62,1.52,0.3
"(V11) (583) Indianapolis, IN","46,363","45,769",98.72%,594,1.28%,,"43,697","2,072",522,59,7,6,,1.57,3.44,2.09
"(V11) (610) Northern Indiana HCS, IN","32,211","31,656",98.28%,555,1.72%,,"30,333","1,323",537,17,0,1,,3.08,4.2,1.54
"(V11) (655) Saginaw, MI","26,060","25,751",98.81%,309,1.19%,,"24,870",881,287,22,0,0,,0.42,3.15,1.62
"(V12) (537) Jesse Brown VAMC (Chicago), IL","40,371","39,184",97.06%,"1,187",2.94%,,"37,743","1,441",892,265,30,0,,4.19,4.76,1.45
(V12) (556) Captain James A Lovell FHCC,"32,134","31,973",99.50%,161,0.50%,,"31,147",826,155,5,0,1,,1.07,2.75,2.02
"(V12) (578) Hines, IL","47,578","45,436",95.50%,"2,142",4.50%,,"43,406","2,030","1,758",378,6,0,,4.86,5.34,4.33
"(V12) (585) Iron Mountain, MI","11,388","11,155",97.95%,233,2.05%,,"10,554",601,213,20,0,0,,3.68,3.93,2.1
"(V12) (607) Madison, WI","27,146","26,582",97.92%,564,2.08%,,"25,401","1,181",497,62,5,0,,4.24,3.55,1.83
"(V12) (676) Tomah, WI","20,153","20,105",99.76%,48,0.24%,,"19,702",403,40,8,0,0,,0.74,2.04,1.03
"(V12) (695) Milwaukee, WI","59,894","58,455",97.60%,"1,439",2.40%,,"56,535","1,920","1,089",314,31,5,,0.89,5.14,1.91
"(V15) (589) Columbia, MO","26,291","26,133",99.40%,158,0.60%,,"25,783",350,137,11,3,7,,1.11,2.12,1.03
"(V15) (589) Kansas City, MO","29,924","29,396",98.24%,528,1.76%,,"28,561",835,352,138,36,2,,1.75,2.98,1.51
"(V15) (589) Eastern KS HCS, KS","33,117","32,878",99.28%,239,0.72%,,"32,363",515,217,22,0,0,,1,2.17,0.66
"(V15) (657) Marion, IL","24,753","24,064",97.22%,689,2.78%,,"22,768","1,296",496,185,8,0,,2.87,5.49,3.08
"(V15) (657) Poplar Bluff, MO","15,365","15,038",97.87%,327,2.13%,,"14,544",494,282,43,1,1,,1.65,6.16,2.09
"(V15) (657) St. Louis, MO","47,283","46,757",98.89%,526,1.11%,,"44,906","1,851",363,87,68,8,,1.35,3.81,3.41
"(V16) (502) Alexandria, LA","23,124","22,574",97.62%,550,2.38%,,"21,718",856,361,182,0,7,,2.99,4.39,1.8
