"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
"(V01) (402) Togus, ME",28683,"28,299",98.66%,384,0.0134,"25,403","1,570","1,326",357,25,2,0,4.96,2.73,1.87
(V01) (402) Togus VAMC,17464,"17,179",98.37%,285,0.0163,"15,582",910,687,264,19,2,0,5.96,2.66,2.59
"(V01) (402GA) Aroostook County
(Caribou)",756,724,95.77%,32,0.0423,569,69,86,31,1,0,0,8.84,0,3.41
(V01) (402GB) Calais,379,379,100.00%,0,0.0000,365,12,2,0,0,0,0,1.43,0,0.36
(V01) (402GC) Rumford,428,428,100.00%,0,0.0000,411,8,9,0,0,0,0,1.31,0,1.11
(V01) (402GD) Saco,1284,"1,277",99.45%,7,0.0055,"1,123",87,67,6,1,0,0,4.61,0,2.08
(V01) (402GE) Lewiston,1985,"1,968",99.14%,17,0.0086,"1,659",190,119,13,4,0,0,4.71,3.63,3.2
(V01) (402GF) Lincoln,328,328,100.00%,0,0.0000,276,28,24,0,0,0,0,4.7,0,0.09
(V01) (402HB) Bangor,4103,"4,081",99.46%,22,0.0054,"3,697",169,215,22,0,0,0,3.26,3,0.67
"(V01) (402HC) Portland Outreach
Clinic-CDRP Satellite South",1858,"1,840",99.03%,18,0.0097,"1,647",87,106,18,0,0,0,5.57,2.11,0.61
"(V01) (402HL) Bingham VA Mobile
Clinic",67,67,100.00%,0,0.0000,53,7,7,0,0,0,0,4.8,,
(V01) (402QB) Houlton,31,28,90.32%,3,0.0968,21,3,4,3,0,0,0,8.48,,
"(V01) (405) White River Junction, VT",21581,"21,198",98.23%,383,0.0177,"18,824","1,233","1,141",349,34,0,0,3.62,4.08,1.32
(V01) (405) White River Jct VAMC,15967,"15,651",98.02%,316,0.0198,"13,930",858,863,293,23,0,0,3.53,4.26,1.38
(V01) (405GA) Bennington,736,736,100.00%,0,0.0000,675,46,15,0,0,0,0,2.57,0.27,1.72
(V01) (405GC) Brattleboro,437,434,99.31%,3,0.0069,383,31,20,3,0,0,0,4.06,1.72,0.05
(V01) (405HA) Burlington Lakeside,2430,"2,390",98.35%,40,0.0165,"2,083",172,135,29,11,0,0,4.37,4.68,0.4
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",965,963,99.79%,2,0.0021,909,28,26,2,0,0,0,1.66,1.4,0.98
(V01) (405HE) KEENE (ORC),300,292,97.33%,8,0.0267,246,17,29,8,0,0,0,7.19,0,2.04
(V01) (405HF) Rutland,746,732,98.12%,14,0.0188,598,81,53,14,0,0,0,4.17,0.44,3.16
"(V01) (518) Bedford, MA",13170,"13,018",98.85%,152,0.0115,"12,063",559,396,111,26,13,2,0.43,6.01,0.76
"(V01) (518) Edith Nourse Rogers
VAMC",11588,"11,440",98.72%,148,0.0128,"10,539",517,384,107,26,13,2,0.47,6.05,0.53
(V01) (518GA) Lynn,645,644,99.84%,1,0.0016,630,11,3,1,0,0,0,0.19,0,1.66
(V01) (518GB) Haverhill,676,673,99.56%,3,0.0044,634,30,9,3,0,0,0,0.59,6.76,3.98
(V01) (518GE) Gloucester,261,261,100.00%,0,0.0000,260,1,0,0,0,0,0,0.34,0,0
"(V01) (523) VA Boston HCS, MA",46306,"45,052",97.29%,"1,254",0.0271,"39,214","2,834","3,004","1,068",144,34,8,7.47,5.75,2.17
(V01) (523) Jamaica Plain VAMC,19960,"19,451",97.45%,509,0.0255,"16,412","1,527","1,512",436,50,19,4,7.76,5.66,1.5
(V01) (523A4) West Roxbury VAMC,7863,"7,650",97.29%,213,0.0271,"6,566",449,635,202,8,2,1,10.24,4.82,0
(V01) (523A5) Brockton VAMC,11812,"11,421",96.69%,391,0.0331,"10,263",571,587,318,62,9,2,7.02,7.47,2.11
(V01) (523BY) Lowell,1595,"1,526",95.67%,69,0.0433,"1,258",133,135,60,6,3,0,8.25,5,7.27
(V01) (523BZ) Causeway,4206,"4,180",99.38%,26,0.0062,"4,042",74,64,22,2,1,1,3.58,2.64,1.64
(V01) (523GA) Framingham,369,356,96.48%,13,0.0352,298,26,32,8,5,0,0,4.57,0,9.44
(V01) (523GC) Quincy,252,221,87.70%,31,0.1230,180,24,17,20,11,0,0,9.91,,
(V01) (523GD) Plymouth,223,221,99.10%,2,0.0090,169,30,22,2,0,0,0,5.62,1.12,
(V01) (523MA) IDES Hanscom AFB,26,26,100.00%,0,0.0000,26,0,0,0,0,0,0,,0,0
"(V01) (608) Manchester, NH",18849,"18,548",98.40%,301,0.0160,"16,481","1,177",890,280,12,8,1,4.99,2.93,2.94
(V01) (608) Manchester VAMC,17104,"16,856",98.55%,248,0.0145,"15,228",946,682,229,11,7,1,4.27,2.94,2.37
(V01) (608GA) Portsmouth,388,377,97.16%,11,0.0284,259,52,66,11,0,0,0,7.92,2.63,5.19
(V01) (608GC) Somersworth,692,654,94.51%,38,0.0549,443,96,115,36,1,1,0,9.51,1.63,6.86
(V01) (608GD) Conway,192,191,99.48%,1,0.0052,148,34,9,1,0,0,0,3.47,0,6.68
(V01) (608HA) Tilton,469,466,99.36%,3,0.0064,399,49,18,3,0,0,0,3.66,2.33,1.51
"(V01) (608MA) IDES Manchester
VAMC",4,4,100.00%,0,0.0000,4,0,0,0,0,0,0,,0,
"(V01) (631) VA Central Western Massachusetts
HCS",19521,"18,892",96.78%,629,0.0322,"16,187","1,356","1,349",460,148,17,4,5.56,5.98,4
(V01) (631) Edward P Boland VAMC,8253,"7,873",95.40%,380,0.0460,"6,604",532,737,286,87,4,3,8.52,7.22,4.11
(V01) (631BY) Springfield,4447,"4,367",98.20%,80,0.0180,"3,901",257,209,65,15,0,0,5.19,2.87,3.42
(V01) (631GC) Pittsfield,660,635,96.21%,25,0.0379,552,33,50,25,0,0,0,6.49,2.7,5.01
"(V01) (631GD) Greenfield (Franklin
County)",767,762,99.35%,5,0.0065,666,57,39,5,0,0,0,4.23,10,2.49
(V01) (631GE) Worcester,3498,"3,370",96.34%,128,0.0366,"2,790",335,245,78,36,13,1,4.38,9.17,5.31
(V01) (631GF) Fitchburg,802,802,100.00%,0,0.0000,711,58,33,0,0,0,0,3.02,1.74,2.16
"(V01) (631MA) IDES Keller Army
Community Hospital",8,8,100.00%,0,0.0000,6,0,2,0,0,0,0,,5.2,9
