"Facility
(Administrative
Parent)
(Data On 10/1/14)","Total appts
scheduled1","Appts
scheduled 30
days or
under2","Percent
appts
scheduled 30
days or
under3","Appts
scheduled
over 30
days4","Percent
appts
scheduled
over 30
days5",,"New
Enrollee
Appt
Request6",,"EWL
count7",,"Appts
between
8 0 â€ê 14 days","EWL 0 â€ê
14
days9","Appts
between
15 â€ê 30
days10","EWL 15â€ê
30 days11","Appts
between
31 â€ê 60
days12","EWL 31â€ê
60
days13","Appts
between
61 â€ê 90
days14","EWL 61â€ê
90
days15","Appts
between
91 â€ê 120
days16","EWL 91â€ê
120
days17","Appts
beyond
120
days18","EWL
greater
than 120
days19",,"PC avg
wait
time20","SC avg
wait
time21","MH avg
wait
time22"
"(V08) (573) Gainesville, FL","155,520","136,120",87.53%,"19,400",12.47%,,226,,"1,173",,"125,748",144,"10,372",205,"11,009",251,"5,763",247,"1,608",172,"1,020",154,,8.97,15.21,2.66
"(V08) (672) San Juan, PR","124,973","123,609",98.91%,"1,364",1.09%,,3,,232,,"121,436",58,"2,173",14,747,24,245,35,231,65,141,36,,2.05,1.93,3.35
"(V09) (626) Middle Tennessee HCS, TN","120,223","112,441",93.53%,"7,782",6.47%,,6,,944,,"107,737",188,"4,704",195,"4,365",214,"2,308",92,460,81,649,174,,14.35,5.29,5.71
"(V07) (508) Atlanta, GA","117,056","108,625",92.80%,"8,431",7.20%,,19,,7,,"102,127",1,"6,498",0,"5,280",0,"2,795",0,204,4,152,2,,17,6.05,2.41
"(V08) (516) Bay Pines, FL","105,992","102,140",96.37%,"3,852",3.63%,,3,,169,,"97,555",50,"4,585",33,"2,712",42,745,38,183,4,212,2,,4.99,5.43,3.48
"(V08) (675) Orlando, FL","103,626","98,701",95.25%,"4,925",4.75%,,9,,928,,"95,781",245,"2,920",247,"2,817",275,"1,478",74,499,64,131,23,,1.79,6.12,0.96
"(V16) (580) Houston, TX","103,491","97,123",93.85%,"6,368",6.15%,,8,,3,,"93,420",0,"3,703",2,"4,143",1,"1,852",0,289,0,84,0,,7.98,5.68,3.35
"(V01) (523) VA Boston HCS, MA","88,414","86,888",98.27%,"1,526",1.73%,,21,,337,,"83,680",176,"3,208",29,912,54,307,65,128,8,179,5,,1.5,4.03,3.53
(V22) (691) Greater Los Angeles HCS,"84,601","75,742",89.53%,"8,859",10.47%,,32,,156,,"69,448",86,"6,294",2,"4,998",25,"2,697",14,"1,014",29,150,0,,6.19,13.94,5.75
"(V06) (659) Salisbury, NC","77,189","71,354",92.44%,"5,835",7.56%,,10,,173,,"67,011",72,"4,343",27,"3,219",17,"1,476",27,500,9,640,21,,3.81,8.95,13.39
"(V07) (544) Columbia, SC","73,335","67,741",92.37%,"5,594",7.63%,,11,,347,,"62,917",59,"4,824",36,"3,528",67,"1,553",57,329,85,184,43,,11.55,7.83,6.78
"(V23) (618) Minneapolis, MN","73,041","71,110",97.36%,"1,931",2.64%,,39,,6,,"68,917",5,"2,193",1,"1,413",0,342,0,52,0,124,0,,3.93,3.9,1.2
