"Facility
(Administrative
Parent)
(Data On
10/15/14)","Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 - 14 Days8","EWL 0 -
14
Days9","Appts
Between
15 - 30
Days10","EWL 15-30
Days11","Appts
Between
31 - 60
days12","EWL 31-
60
Days13","Appts
Between
61 - 90
Days14","EWL 61-90
Days15","Appts
Between
91 - 120
Days16","EWL 91-
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V21) (358) Manila, PI",1396,1328,0.9513,68,0.0487,,2,,8,,1165,7,163,1,64,0,4,0,0,0,0,0,,6,6.48,6.33
"(V19) (666) Sheridan, WY",4511,4254,0.943,257,0.057,,17,,1,,3895,0,359,0,199,1,48,0,10,0,0,0,,9.75,5.7,3.25
"(V20) (463) Anchorage, AK",5727,5647,0.986,80,0.014,,35,,26,,5454,5,193,1,75,10,1,6,3,1,1,3,,2.68,2.21,1.16
"(V07) (679) Tuscaloosa, AL","6,302","6,150",97.59%,152,2.41%,,2,,2,,"5,886",0,264,0,124,2,17,0,10,0,1,0,,5.86,0.52,1.47
"(V01) (518) Bedford, MA","8,247","7,743",93.89%,504,6.11%,,16,,73,,"6,971",8,772,3,405,3,78,0,18,1,3,58,,1.25,9.81,7.26
"(V04) (542) Coatesville, PA","8,971","8,868",98.85%,103,1.15%,,0,,0,,"8,634",0,234,0,83,0,11,0,6,0,3,0,,1.53,3.95,1.03
"(V20) (692) White City, OR",11475,10978,0.9567,497,0.0433,,7,,533,,10651,84,327,70,392,95,83,156,8,84,14,44,,5.3,5.58,2.71
"(V15) (657) Poplar Bluff, MO",12077,11290,0.9348,787,0.0652,,3,,5,,10673,1,617,1,617,3,158,0,10,0,2,0,,3.28,11.91,2.21
(V18) (649) Northern Arizona HCS,13618,12218,0.8972,1400,0.1028,,15,,523,,11459,109,759,213,713,72,587,23,98,17,2,89,,8.22,13.26,0.5
"(V19) (442) Cheyenne, WY",13744,13045,0.9491,699,0.0509,,10,,139,,12175,48,870,58,436,28,249,5,9,0,5,0,,3.1,6.04,4.17
"(V23) (568) Black Hills HCS, SD",14118,13549,0.9597,569,0.0403,,1,,1,,12853,0,696,1,531,0,31,0,4,0,3,0,,2.71,6.84,2.17
"(V02) (528) Bath, NY","14,940","14,372",96.20%,568,3.80%,,3,,17,,"13,890",4,482,11,285,1,217,1,58,0,8,0,,4.05,8.61,0.26
"(V12) (676) Tomah, WI",15087,14844,0.9839,243,0.0161,,10,,1,,14441,1,403,0,192,0,17,0,32,0,2,0,,0.91,3.16,2.29
"(V06) (517) Beckley, WV","15,097","14,366",95.16%,731,4.84%,,1,,186,,"13,489",51,877,9,575,17,111,22,39,13,6,74,,4.1,5.97,5.57
"(V02) (528) Canandaigua, NY","15,266","14,802",96.96%,464,3.04%,,17,,18,,"13,859",8,943,9,370,1,62,0,18,0,14,0,,5.23,4.69,2.38
"(V20) (531) Boise, ID",15322,13425,0.8762,1897,0.1238,,8,,269,,12810,124,615,53,963,42,530,24,272,10,132,16,,1.43,14.67,1.53
"(V21) (459) Honolulu, HI",15393,15010,0.9751,383,0.0249,,17,,21,,14339,15,671,1,302,0,65,1,13,0,3,4,,6.21,1.15,2.24
"(V10) (538) Chillicothe, OH","16,269","14,406",88.55%,"1,863",11.45%,,4,,159,,"13,235",31,"1,171",8,"1,311",20,413,18,75,17,64,65,,5.92,14.48,4.67
"(V11) (550) Danville, IL",17111,16564,0.968,547,0.032,,13,,2,,15935,1,629,1,390,0,93,0,51,0,13,0,,4.51,3.27,2.78
(V17) (740) VA Texas Valley Coastal Bend HCS,17475,14699,0.8411,2776,0.1589,,13,,33,,13229,10,1470,6,1297,2,852,6,578,1,49,8,,24.92,8.31,5.56
"(V21) (570) Fresno, CA",17583,15419,0.8769,2164,0.1231,,3,,48,,14392,2,1027,1,1260,8,619,12,210,21,75,4,,0.81,14.54,1.76
"(V15) (589) Wichita, KS",17919,17111,0.9549,808,0.0451,,2,,131,,16395,30,716,14,495,6,244,1,63,10,6,70,,3.31,8.61,1.72
"(V23) (437) Fargo, ND",18608,17683,0.9503,925,0.0497,,0,,2,,16810,2,873,0,709,0,193,0,18,0,5,0,,3.83,5.31,1.64
(V19) (436) Montana HCS,18903,17097,0.9045,1806,0.0955,,6,,14,,15882,10,1215,1,1030,0,466,2,205,1,105,0,,15.74,4.18,4.14
"(V01) (608) Manchester, NH","19,393","18,843",97.16%,550,2.84%,,0,,107,,"17,806",3,"1,037",2,489,2,43,70,11,0,7,30,,3.29,4.4,4.52
"(V18) (504) Amarillo, TX",20175,19315,0.9574,860,0.0426,,5,,9,,18755,6,560,3,462,0,353,0,32,0,13,0,,11.2,2.89,0.69
"(V03) (526) Bronx, NY","20,434","20,130",98.51%,304,1.49%,,2,,1,,"19,377",1,753,0,263,0,36,0,4,0,1,0,,1.87,2.61,2.31
"(V23) (438) Sioux Falls, SD",20922,19599,0.9368,1323,0.0632,,4,,129,,18376,33,1223,10,967,9,285,13,51,11,20,53,,6.43,7.46,5.04
"(V23) (636) Central Iowa, IA",21142,20220,0.9564,922,0.0436,,12,,276,,18940,37,1280,55,683,82,162,102,31,0,46,0,,5.14,5.13,4.05
"(V03) (620) VA Hudson Valley HCS, NY","21,868","21,323",97.51%,545,2.49%,,2,,57,,"20,368",17,955,7,476,7,51,12,8,8,10,6,,4.53,3.93,2.13
"(V11) (515) Battle Creek, MI",22336,20825,0.9324,1511,0.0676,,20,,154,,19374,91,1451,59,1317,4,190,0,0,0,4,0,,2.74,9.26,1.68
"(V16) (623) Muskogee, OK",22355,21187,0.9478,1168,0.0522,,0,,53,,19830,10,1357,14,952,16,216,8,0,3,0,2,,5.55,6.99,2.04
"(V20) (653) Roseburg, OR",22405,21207,0.9465,1198,0.0535,,11,,885,,19729,242,1478,146,975,72,124,68,37,48,62,309,,6.36,7.22,2.02
"(V20) (668) Spokane, WA",22589,21461,0.9501,1128,0.0499,,12,,185,,20513,68,948,99,659,14,243,4,165,0,61,0,,3.4,7.41,4.6
"(V04) (460) Wilmington, DE","24,705","22,656",91.71%,"2,049",8.29%,,15,,13,,"20,743",9,"1,913",3,"1,163",1,418,0,223,0,245,0,,17.79,8.64,3.34
(V01) (631) VA Central Western Massachusetts HCS,"25,021","22,092",88.29%,"2,929",11.71%,,6,,71,,"20,428",14,"1,664",7,"1,682",27,776,11,336,5,135,7,,13.26,13.38,3.63
"(V04) (540) Clarksburg, WV","25,027","21,519",85.98%,"3,508",14.02%,,1,,0,,"19,845",0,"1,674",0,"1,779",0,"1,137",0,474,0,118,0,,10.66,15.64,5.4
"(V07) (557) Dublin, GA","25,264","21,485",85.04%,"3,779",14.96%,,31,,755,,"19,267",660,"2,218",52,"1,775",43,"1,607",0,346,0,51,0,,17.54,13.17,5.72
"(V01) (405) White River Junction, VT","25,534","24,778",97.04%,756,2.96%,,0,,20,,"23,648",5,"1,130",12,488,2,137,1,44,0,87,0,,3.54,5.22,1.98
"(V09) (581) Huntington, WV","26,330","25,025",95.04%,"1,305",4.96%,,0,,2,,"23,064",1,"1,961",0,"1,154",1,139,0,11,0,1,0,,10.27,4.75,2.16
"(V04) (693) Wilkes-Barre, PA","26,485","25,859",97.64%,626,2.36%,,5,,4,,"25,164",4,695,0,553,0,71,0,1,0,1,0,,3.2,1.54,2.77
"(V11) (655) Saginaw, MI",26685,25983,0.9737,702,0.0263,,21,,9,,24946,6,1037,2,616,1,65,0,14,0,7,0,,0.79,4.68,1.67
"(V19) (660) Salt Lake City, UT",28339,25474,0.8989,2865,0.1011,,13,,659,,22874,286,2600,143,1895,119,807,78,112,31,51,2,,13.19,9.17,3.3
"(V21) (662) San Francisco, CA",29212,27402,0.938,1810,0.062,,9,,170,,25799,76,1603,22,1276,36,406,15,87,12,41,9,,9.8,5.87,3.92
"(V04) (503) Altoona, PA","29,711","29,074",97.86%,637,2.14%,,3,,50,,"28,353",40,721,9,384,1,218,0,14,0,21,0,,3.19,6.82,2.31
"(V12) (607) Madison, WI",30980,29242,0.9439,1738,0.0561,,1,,0,,27676,0,1566,0,1205,0,406,0,71,0,56,0,,6.43,6.58,2.35
"(V11) (610) Northern Indiana HCS, IN",31223,29449,0.9432,1774,0.0568,,20,,1,,27362,1,2087,0,1458,0,272,0,22,0,22,0,,8.38,6.6,2
"(V18) (756) El Paso, TX",31237,27675,0.886,3562,0.114,,9,,27,,25126,21,2549,5,1975,0,924,0,607,1,56,0,,9.53,8.67,18.57
"(V02) (528) Albany, NY","31,776","31,125",97.95%,651,2.05%,,19,,20,,"30,158",1,967,8,388,11,143,0,58,0,62,0,,2.44,2.31,6.3
"(V23) (636) Iowa City, IA",33253,31421,0.9449,1832,0.0551,,0,,12,,29687,2,1734,3,1012,4,400,2,312,1,108,0,,6.29,6.61,2.39
"(V09) (596) Lexington, KY","33,470","30,649",91.57%,"2,821",8.43%,,5,,730,,"26,703",255,"3,946",185,"2,286",119,467,70,39,42,29,59,,8.77,8.84,7.51
"(V06) (590) Hampton, VA","34,133","27,317",80.03%,"6,816",19.97%,,16,,192,,"22,772",4,"4,545",32,"4,745",66,"1,602",64,208,25,261,1,,31.04,13.68,13.62
"(V07) (619) Central Alabama Veterans HCS, AL","34,521","26,202",75.90%,"8,319",24.10%,,49,,59,,"22,380",21,"3,822",12,"4,280",10,"2,341",5,"1,489",3,209,8,,13.95,24.74,21.55
"(V06) (637) Asheville, NC","34,586","33,023",95.48%,"1,563",4.52%,,2,,54,,"30,777",20,"2,246",20,"1,122",12,369,1,51,0,21,1,,6.48,5.81,4.35
"(V23) (656) St. Cloud, MN",35317,33938,0.961,1379,0.039,,4,,27,,32825,3,1113,5,947,4,333,4,89,3,10,8,,2.93,8.03,4.6
"(V16) (635) Oklahoma City, OK",35354,33584,0.9499,1770,0.0501,,36,,129,,31464,72,2120,14,1054,20,526,10,160,8,30,5,,3.64,8.31,2.04
"(V07) (509) Augusta, GA","35,695","34,109",95.56%,"1,586",4.44%,,1,,37,,"31,789",16,"2,320",4,"1,098",5,229,2,92,0,167,10,,7.66,6.11,1.07
"(V05) (613) Martinsburg, WV","36,091","34,840",96.53%,"1,251",3.47%,,2,,76,,"33,065",60,"1,775",3,662,6,383,7,137,0,69,0,,5.66,6.08,2.21
"(V03) (632) Northport, NY","36,829","36,127",98.09%,702,1.91%,,1,,334,,"34,326",49,"1,801",6,495,25,140,32,31,9,36,213,,4.17,5.95,1.5
"(V16) (564) Fayetteville, AR",37645,34934,0.928,2711,0.072,,10,,2,,32746,2,2188,0,1705,0,631,0,169,0,206,0,,2.76,8.67,6.5
"(V10) (757) Columbus, OH",37928,34709,0.9151,3219,0.0849,,6,,44,,32142,7,2567,5,1891,8,977,4,314,12,37,8,,8.62,9.69,2.25
"(V23) (636) Nebraska-W Iowa, NE",38174,37780,0.9897,394,0.0103,,4,,61,,36899,24,881,11,295,9,52,12,25,3,22,2,,1.97,2.33,1.3
"(V01) (650) Providence, RI","38,179","36,525",95.67%,"1,654",4.33%,,17,,29,,"34,892",4,"1,633",3,"1,052",11,452,2,112,2,38,7,,8.18,4.91,7.74
"(V16) (667) Shreveport, LA",38188,37197,0.974,991,0.026,,23,,6,,35840,5,1357,1,558,0,209,0,119,0,105,0,,6.12,3.59,3.03
"(V11) (553) Detroit, MI",38812,38160,0.9832,652,0.0168,,33,,114,,37567,56,593,27,435,17,168,8,42,5,7,1,,0.85,2.19,0.69
"(V10) (539) Cincinnati, OH","39,426","37,950",96.26%,"1,476",3.74%,,16,,2,,"36,753",0,"1,197",0,"1,136",1,266,0,62,0,12,1,,2.23,5.64,1.85
"(V07) (534) Charleston, SC","39,900","38,507",96.51%,"1,393",3.49%,,14,,10,,"37,314",4,"1,193",2,948,2,348,1,80,1,17,0,,3.94,5.13,2.37
"(V16) (629) New Orleans, LA",40009,34897,0.8722,5112,0.1278,,24,,63,,31037,4,3860,10,2897,13,2190,25,22,10,3,1,,12.91,14.2,6.3
"(V06) (658) Salem, VA","40,637","38,946",95.84%,"1,691",4.16%,,11,,136,,"36,961",28,"1,985",16,882,18,502,22,271,21,36,31,,4.27,7.16,0.7
"(V04) (595) Lebanon, PA","41,590","40,756",97.99%,834,2.01%,,4,,8,,"39,010",4,"1,746",2,682,2,110,0,26,0,16,0,,2.5,4,1.96
"(V03) (561) New Jersey HCS, NJ","41,632","38,998",93.67%,"2,634",6.33%,,16,,1,,"36,685",1,"2,313",0,"2,075",0,456,0,68,0,35,0,,1.9,7.68,2.4
"(V05) (688) Washington, DC","43,290","40,471",93.49%,"2,819",6.51%,,1,,67,,"36,284",14,"4,187",2,"2,117",5,617,5,73,20,12,21,,8.81,7.35,8.28
"(V06) (565) Fayetteville, NC","43,344","35,474",81.84%,"7,870",18.16%,,21,,"1,172",,"31,357",323,"4,117",394,"3,260",309,"4,437",73,102,21,71,52,,28.1,14.79,5.42
"(V01) (402) Togus, ME","43,374","42,025",96.89%,"1,349",3.11%,,1,,39,,"40,609",12,"1,416",15,870,9,335,2,94,1,50,0,,2.99,4.51,2.52
"(V12) (537) Jesse Brown VAMC (Chicago), IL",44885,41890,0.9333,2995,0.0667,,2,,77,,39614,5,2276,0,1918,25,868,13,204,21,5,13,,7.09,7.74,3.14
(V18) (501) New Mexico HCS,45339,39178,0.8641,6161,0.1359,,1,,211,,35531,184,3647,10,3058,12,2684,2,383,1,36,2,,16.88,12.39,8.12
"(V02) (528) Western New York, NY","45,632","43,992",96.41%,"1,640",3.59%,,37,,7,,"41,828",4,"2,164",0,"1,250",0,238,1,91,1,61,1,,4.2,3.99,4.65
"(V09) (603) Louisville, KY","46,460","45,566",98.08%,894,1.92%,,5,,0,,"43,645",0,"1,921",0,672,0,142,0,53,0,27,0,,2.91,4.01,3
"(V22) (600) Long Beach, CA",49334,47547,0.9638,1787,0.0362,,4,,49,,44697,22,2850,8,1560,13,108,4,64,2,55,0,,10.73,3.5,3.81
"(V15) (589) Columbia, MO",49584,49116,0.9906,468,0.0094,,8,,15,,48325,4,791,3,288,1,62,4,35,0,83,3,,1.22,2.65,1.43
"(V12) (578) Hines, IL",50101,44134,0.8809,5967,0.1191,,2,,1,,41174,1,2960,0,4280,0,1643,0,32,0,12,0,,9.44,11.45,7.68
"(V01) (689) VA Connecticut HCS, CT","50,149","48,202",96.12%,"1,947",3.88%,,2,,3,,"45,885",1,"2,317",2,"1,122",0,444,0,204,0,177,0,,2.73,6.33,4.1
"(V02) (528) Syracuse, NY","50,571","46,084",91.13%,"4,487",8.87%,,6,,0,,"43,692",0,"2,392",0,"2,207",0,991,0,463,0,826,0,,2.8,16.21,3.02
"(V21) (640) Palo Alto, CA",52542,49351,0.9393,3191,0.0607,,19,,386,,45773,40,3578,35,2345,45,540,72,195,42,111,152,,6.02,6.92,3.96
"(V11) (583) Indianapolis, IN",53317,50867,0.954,2450,0.046,,7,,1,,47750,0,3117,0,1927,1,350,0,78,0,95,0,,4.24,4.93,3.04
