"","Facility(AdministrativeParent)(Data On 10/1/14)",Division,"Total apptsscheduled1","Apptsscheduled 30days orunder2","Percentapptsscheduled 30days orunder3","Apptsscheduledover 30days4","Percentapptsscheduledover 30days5",,"NewEnrolleeApptRequest6",,"EWLcount7",,"Apptsbetween8 0 ‐ 14 days","EWL 0 ‐14days9","Apptsbetween15 ‐ 30days10","EWL 15‐30 days11","Apptsbetween31 ‐ 60days12","EWL 31‐60days13","Apptsbetween61 ‐ 90days14","EWL 61‐90days15","Apptsbetween91 ‐ 120days16","EWL 91‐120days17","Apptsbeyond120days18","EWLgreaterthan 120days19",,"PC avgwaittime20","SC avgwaittime21","MH avgwaittime22"
"","(V01) (402) Togus, ME",,"43,575","42,316",97.11%,"1,259",2.89%,,25,,28,,"40,940",11,"1,376",11,822,2,292,2,99,1,46,1,,2.82,4.43,2.64
"",,(V01) (402) Togus,"25,988","25,088",96.54%,900,3.46%,,0,,8,,"24,122",1,966,1,559,2,231,2,76,1,34,1,,3.22,4.67,3.91
"",,(V01) (402GA) Aroostook County (Caribou),908,888,97.80%,20,2.20%,,0,,0,,863,0,25,0,18,0,1,0,0,0,1,0,,3.78,0.00,0.39
"",,(V01) (402GB) Calais,"1,195","1,194",99.92%,1,0.08%,,0,,0,,"1,191",0,3,0,1,0,0,0,0,0,0,0,,0.13,0.00,0.76
"",,(V01) (402GC) Rumford,609,609,100.00%,0,0.00%,,0,,1,,602,1,7,0,0,0,0,0,0,0,0,0,,1.71,,1.35
"",,(V01) (402GD) Saco,"2,382","2,294",96.31%,88,3.69%,,0,,1,,"2,194",0,100,1,40,0,36,0,10,0,2,0,,6.92,8.64,4.33
"",,(V01) (402GE) Lewiston Auburn,"1,457","1,452",99.66%,5,0.34%,,0,,0,,"1,423",0,29,0,3,0,1,0,0,0,1,0,,1.88,1.19,1.23
"",,(V01) (402HB) Bangor,"8,293","8,088",97.53%,205,2.47%,,0,,18,,"7,898",9,190,9,188,0,8,0,4,0,5,0,,2.04,3.36,1.45
"",,(V01) (402HC) Portland Outreach Clinic‐CDRP Sat,"2,622","2,583",98.51%,39,1.49%,,0,,0,,"2,530",0,53,0,13,0,15,0,9,0,2,0,,4.04,2.69,1.90
"",,(V01) (402HL) R&C Healthcare MOC,121,120,99.17%,1,0.83%,,0,,0,,117,0,3,0,0,0,0,0,0,0,1,0,,3.50,,
"","(V01) (405) White River Junction, VT","25,779","25,088",97.32%,691,2.68%,,8,,15,,"24,095",12,993,2,436,1,135,0,45,0,75,0,,3.40,4.76,1.88,
"",,(V01) (405) White River Jct,"19,313","18,680",96.72%,633,3.28%,,0,,8,,"17,833",8,847,0,390,0,130,0,45,0,68,0,,5.19,5.05,2.15
"",,(V01) (405GA) Bennington,575,575,100.00%,0,0.00%,,0,,0,,571,0,4,0,0,0,0,0,0,0,0,0,,0.50,0.36,2.64
"",,(V01) (405GC) Brattleboro,399,391,97.99%,8,2.01%,,0,,1,,386,1,5,0,8,0,0,0,0,0,0,0,,0.97,2.12,1.75
"",,(V01) (405HA) Burlington Lakeside,"2,605","2,572",98.73%,33,1.27%,,0,,1,,"2,509",1,63,0,26,0,2,0,0,0,5,0,,2.37,2.59,0.52
"",,(V01) (405HC) VICC ‐ St. Johnsbury ‐ Littleton,"2,350","2,343",99.70%,7,0.30%,,0,,0,,"2,282",0,61,0,5,0,1,0,0,0,1,0,,1.40,0.00,0.36
"",,(V01) (405HE) KEENE (ORC),197,197,100.00%,0,0.00%,,0,,1,,195,1,2,0,0,0,0,0,0,0,0,0,,1.01,0.00,2.38
"",,(V01) (405HF) Rutland,340,330,97.06%,10,2.94%,,0,,1,,319,1,11,0,7,0,2,0,0,0,1,0,,1.02,20.55,1.45
"",,(V01) (405HK) WHITE RIVER,0,0,0.00%,0,0.00%,,0,,3,,0,0,0,2,0,1,0,0,0,0,0,0,,,,
"","(V01) (518) Bedford, MA","8,565","8,085",94.40%,480,5.60%,,18,,42,,"7,306",4,779,34,401,1,63,0,13,1,3,2,,1.29,9.02,7.23,
"",,(V01) (518) Bedford,"7,309","6,895",94.34%,414,5.66%,,0,,41,,"6,189",3,706,34,344,1,54,0,13,1,3,2,,1.64,9.10,6.76
"",,(V01) (518GA) Lynns/North Shore,526,471,89.54%,55,10.46%,,0,,0,,409,0,62,0,49,0,6,0,0,0,0,0,,0.81,0.00,14.21
"",,(V01) (518GB) Haverhill,415,406,97.83%,9,2.17%,,0,,1,,398,1,8,0,6,0,3,0,0,0,0,0,,0.88,3.56,5.05
"",,(V01) (518GD) Lowell,6,6,100.00%,0,0.00%,,0,,0,,5,0,1,0,0,0,0,0,0,0,0,0,,,,
"",,(V01) (518GE) Gloucester,306,304,99.35%,2,0.65%,,0,,0,,302,0,2,0,2,0,0,0,0,0,0,0,,0.61,,5.89
"",,(V01) (518MA) IDES Hanscom AFB,3,3,100.00%,0,0.00%,,0,,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00
"","(V01) (523) VA Boston HCS, MA","88,414","86,888",98.27%,"1,526",1.73%,,21,,337,,"83,680",176,"3,208",29,912,54,307,65,128,8,179,5,,1.50,4.03,3.53,
"",,(V01) (523) VA Boston HCS‐ Boston Div.,"37,499","36,762",98.03%,737,1.97%,,0,,307,,"34,923",166,"1,839",27,499,48,109,61,45,5,84,0,,1.32,4.40,2.91
"",,(V01) (523A4) VA Boston HCS‐West Roxbury Div.,"15,326","14,960",97.61%,366,2.39%,,0,,0,,"14,593",0,367,0,172,0,107,0,41,0,46,0,,1.20,2.60,1.19
"",,(V01) (523A5) Brockton VAMC,"21,639","21,358",98.70%,281,1.30%,,0,,27,,"20,586",7,772,2,122,6,79,4,36,3,44,5,,1.03,5.09,3.82
"",,(V01) (523BY) Lowell,"4,346","4,289",98.69%,57,1.31%,,0,,3,,"4,199",3,90,0,48,0,7,0,1,0,1,0,,2.20,2.00,6.18
"",,(V01) (523BZ) Causeway Clinic (Boston),"8,346","8,310",99.57%,36,0.43%,,0,,0,,"8,218",0,92,0,28,0,2,0,3,0,3,0,,0.73,1.03,2.91
"",,(V01) (523GA) Framingham VA Primary Care Unit,521,521,100.00%,0,0.00%,,0,,0,,519,0,2,0,0,0,0,0,0,0,0,0,,0.43,,0.09
"",,(V01) (523GC) Quincy,231,228,98.70%,3,1.30%,,0,,0,,227,0,1,0,2,0,0,0,0,0,1,0,,1.63,,
"",,(V01) (523GD) Plymouth,501,455,90.82%,46,9.18%,,0,,0,,410,0,45,0,41,0,3,0,2,0,0,0,,8.81,0.00,
"",,(V01) (523MA) IDES Hanscom AFB,5,5,100.00%,0,0.00%,,0,,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00
"","(V01) (608) Manchester, NH","19,429","18,866",97.10%,563,2.90%,,7,,124,,"17,877",9,989,2,487,15,58,68,12,0,6,30,,3.11,4.63,4.28,
"",,(V01) (608) Manchester,"17,136","16,653",97.18%,483,2.82%,,0,,124,,"15,807",9,846,2,414,15,52,68,11,0,6,30,,3.01,4.57,3.26
"",,(V01) (608GA) Portsmouth,684,646,94.44%,38,5.56%,,0,,0,,599,0,47,0,36,0,2,0,0,0,0,0,,4.07,12.35,5.77
"",,(V01) (608GC) Somersworth,858,832,96.97%,26,3.03%,,0,,0,,768,0,64,0,22,0,3,0,1,0,0,0,,3.75,5.84,7.18
"",,(V01) (608GD) Conway,287,287,100.00%,0,0.00%,,0,,0,,281,0,6,0,0,0,0,0,0,0,0,0,,1.65,2.60,2.51
"",,(V01) (608HA) Tilton,461,445,96.53%,16,3.47%,,0,,0,,422,0,23,0,15,0,1,0,0,0,0,0,,2.81,10.14,11.64
"",,(V01) (608MA) IDES Manchester VAMC,3,3,100.00%,0,0.00%,,0,,0,,0,0,3,0,0,0,0,0,0,0,0,0,,,20.50,21.00
"",(V01) (631) VA Central Western Massachusetts HCS,"25,318","22,331",88.20%,"2,987",11.80%,,8,,70,,"20,686",9,"1,645",21,"1,664",16,879,10,331,2,113,12,,13.30,13.11,3.42,
"",,(V01) (631) VA Central Western Massachusetts H,"10,386","8,839",85.10%,"1,547",14.90%,,8,,60,,"8,058",6,781,21,957,16,432,10,142,2,16,5,,15.22,14.31,3.54
"",,(V01) (631BY) Springfield,"4,884","4,464",91.40%,420,8.60%,,0,,0,,"4,235",0,229,0,239,0,127,0,42,0,12,0,,14.01,4.65,3.01
"",,(V01) (631GC) Pittsfield,"1,099",982,89.35%,117,10.65%,,0,,0,,917,0,65,0,97,0,19,0,1,0,0,0,,11.17,0.40,3.69
"",,(V01) (631GD) Greenfield (Franklin County),734,722,98.37%,12,1.63%,,0,,0,,686,0,36,0,9,0,2,0,0,0,1,0,,2.57,3.71,1.47
"",,(V01) (631GE) Worcester,"7,566","6,690",88.42%,876,11.58%,,0,,9,,"6,218",3,472,0,352,0,299,0,144,0,81,6,,13.77,13.84,4.30
"",,(V01) (631GF) Fitchburg,649,634,97.69%,15,2.31%,,0,,1,,572,0,62,0,10,0,0,0,2,0,3,1,,5.06,55.07,3.91
"","(V01) (650) Providence, RI","38,509","36,878",95.76%,"1,631",4.24%,,17,,24,,"35,293",3,"1,585",7,"1,091",6,415,0,90,2,35,6,,8.07,4.70,7.24,
"",,(V01) (650) Providence,"33,995","32,630",95.98%,"1,365",4.02%,,0,,22,,"31,221",2,"1,409",7,975,5,291,0,66,2,33,6,,10.35,4.72,6.82
"",,(V01) (650GA) New Bedford Primary Care Ctr.,"1,949","1,837",94.25%,112,5.75%,,0,,1,,"1,751",1,86,0,61,0,46,0,4,0,1,0,,5.70,9.69,6.58
"",,(V01) (650GB) Hyannis Primary Care Center,"1,595","1,485",93.10%,110,6.90%,,0,,1,,"1,408",0,77,0,44,1,46,0,19,0,1,0,,3.37,1.16,13.14
"",,(V01) (650GD) Middletown,970,926,95.46%,44,4.54%,,0,,0,,913,0,13,0,11,0,32,0,1,0,0,0,,4.63,0.90,3.23
"","(V01) (689) VA Connecticut HCS, CT","51,281","49,063",95.67%,"2,218",4.33%,,8,,5,,"46,662",5,"2,401",0,"1,314",0,511,0,223,0,170,0,,2.58,6.87,4.12,
"",,(V01) (689) West Haven,"28,660","27,674",96.56%,986,3.44%,,0,,3,,"26,350",3,"1,324",0,548,0,255,0,153,0,30,0,,2.85,5.59,4.18
"",,(V01) (689A4) Newington Campus,"19,532","18,323",93.81%,"1,209",6.19%,,0,,0,,"17,319",0,"1,004",0,751,0,249,0,69,0,140,0,,2.97,8.74,5.28
"",,(V01) (689GA) Waterbury VA Primary Care Cente,495,495,100.00%,0,0.00%,,0,,2,,489,2,6,0,0,0,0,0,0,0,0,0,,0.92,,1.34
"",,(V01) (689GB) Stamford VA Primary Care Center,241,241,100.00%,0,0.00%,,0,,0,,239,0,2,0,0,0,0,0,0,0,0,0,,0.57,,0.41
"",,(V01) (689GC) Willimantic CBOC,423,423,100.00%,0,0.00%,,0,,0,,411,0,12,0,0,0,0,0,0,0,0,0,,1.98,0.00,1.02
"",,(V01) (689GD) Winsted VA Primary Care,323,314,97.21%,9,2.79%,,0,,0,,305,0,9,0,5,0,4,0,0,0,0,0,,0.60,1.63,6.47
"",,(V01) (689GE) Danbury,376,372,98.94%,4,1.06%,,0,,0,,370,0,2,0,4,0,0,0,0,0,0,0,,1.47,1.00,3.26
"",,(V01) (689HC) New London VA Primary Care Cent,"1,230","1,220",99.19%,10,0.81%,,0,,0,,"1,178",0,42,0,6,0,3,0,1,0,0,0,,1.52,6.00,2.37
"",,(V01) (689PB) West Haven CWTTR,1,1,100.00%,0,0.00%,,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,
"","(V02) (528) Albany, NY",,"32,116","31,440",97.90%,676,2.10%,,11,,25,,"30,490",10,950,10,413,5,140,0,67,0,56,0,,2.42,2.33,6.25
"",,(V02) (528A8) Albany,"27,956","27,318",97.72%,638,2.28%,,0,,21,,"26,465",6,853,10,382,5,138,0,66,0,52,0,,2.66,2.35,6.92
"",(V02) (528G1) Malone,91,91,100.00%,0,0.00%,,0,,0,,91,0,0,0,0,0,0,0,0,0,0,0,,0.33,,
"",(V02) (528G2) Westport,126,125,99.21%,1,0.79%,,0,,0,,122,0,3,0,1,0,0,0,0,0,0,0,,2.46,0.21,2.35
"",(V02) (528G3) Bainbridge,443,431,97.29%,12,2.71%,,0,,0,,427,0,4,0,10,0,0,0,0,0,2,0,,1.97,0.59,6.32
"",(V02) (528G6) Fonda,281,279,99.29%,2,0.71%,,0,,0,,273,0,6,0,2,0,0,0,0,0,0,0,,0.10,2.25,4.02
"",(V02) (528G7) Catskill,476,463,97.27%,13,2.73%,,0,,2,,447,2,16,0,13,0,0,0,0,0,0,0,,2.76,0.78,7.90
"",(V02) (528GT) Glens Falls,540,538,99.63%,2,0.37%,,0,,1,,538,1,0,0,0,0,1,0,0,0,1,0,,1.66,0.10,0.08
"",(V02) (528GV) Plattsburgh,976,975,99.90%,1,0.10%,,0,,1,,921,1,54,0,0,0,0,0,1,0,0,0,,3.72,0.24,0.33
"",(V02) (528GW) Schenectady,310,309,99.68%,1,0.32%,,0,,0,,309,0,0,0,0,0,1,0,0,0,0,0,,0.98,,0.00
"",(V02) (528GX) Troy,270,270,100.00%,0,0.00%,,0,,0,,265,0,5,0,0,0,0,0,0,0,0,0,,1.48,,0.80
"",(V02) (528GY) Clifton Park,397,392,98.74%,5,1.26%,,0,,0,,383,0,9,0,5,0,0,0,0,0,0,0,,2.35,0.00,0.00
"",(V02) (528GZ) Kingston,250,249,99.60%,1,0.40%,,0,,0,,249,0,0,0,0,0,0,0,0,0,1,0,,0.45,0.29,5.06
"(V02) (528) Bath, NY",,"14,567","13,967",95.88%,600,4.12%,,0,,17,,"13,524",15,443,0,285,2,253,0,51,0,11,0,,3.74,9.13,0.31
"",(V02) (528A6) Bath,"12,818","12,308",96.02%,510,3.98%,,0,,17,,"11,951",15,357,0,252,2,212,0,36,0,10,0,,4.45,8.52,0.24
"",(V02) (528G4) Elmira,"1,211","1,155",95.38%,56,4.62%,,0,,0,,"1,090",0,65,0,29,0,11,0,15,0,1,0,,2.85,12.60,1.13
"",(V02) (528G8) Wellsville,538,504,93.68%,34,6.32%,,0,,0,,483,0,21,0,4,0,30,0,0,0,0,0,,2.49,19.29,0.00
"(V02) (528) Western New York, NY","44,274","42,720",96.49%,"1,554",3.51%,,28,,12,,"40,725",1,"1,995",1,"1,171",2,229,4,102,3,52,1,,4.02,3.83,4.50,
"","(V02) (528) Upstate New York HCS, Buffalo NY","35,943","34,486",95.95%,"1,457",4.05%,,0,,4,,"32,793",0,"1,693",0,"1,081",0,227,1,100,3,49,0,,6.05,3.89,5.44
"",(V02) (5289AA) VANURS Buffalo,1,1,100.00%,0,0.00%,,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,0.00
"",(V02) (528A4) Upstate New York HCS‐Batavia,"3,320","3,256",98.07%,64,1.93%,,0,,2,,"3,034",0,222,0,63,0,1,1,0,0,0,1,,5.69,2.55,2.93
"",(V02) (528GB) Jamestown,"1,053","1,037",98.48%,16,1.52%,,0,,0,,"1,021",0,16,0,14,0,1,0,1,0,0,0,,0.72,3.26,2.19
"",(V02) (528GC) Dunkirk,873,865,99.08%,8,0.92%,,0,,0,,836,0,29,0,6,0,0,0,0,0,2,0,,3.22,20.40,4.42
"",(V02) (528GD) Niagara Falls,508,508,100.00%,0,0.00%,,0,,2,,506,1,2,1,0,0,0,0,0,0,0,0,,0.56,3.60,2.43
"",(V02) (528GK) Lockport,"1,086","1,086",100.00%,0,0.00%,,0,,1,,"1,076",0,10,0,0,0,0,1,0,0,0,0,,2.44,5.75,5.14
"",(V02) (528GQ) Lackawanna,791,786,99.37%,5,0.63%,,0,,3,,781,0,5,0,5,2,0,1,0,0,0,0,,0.59,0.00,0.52
"",(V02) (528GR) Olean,699,695,99.43%,4,0.57%,,0,,0,,677,0,18,0,2,0,0,0,1,0,1,0,,2.78,8.30,2.73
"(V02) (528) Canandaigua, NY","15,680","15,279",97.44%,401,2.56%,,10,,38,,"14,406",23,873,9,314,6,58,0,17,0,12,0,,4.50,4.37,2.36,
"",(V02) (528A5) Canandaigua,"5,268","5,137",97.51%,131,2.49%,,0,,24,,"4,856",12,281,7,114,5,13,0,3,0,1,0,,4.75,4.49,1.42
"",(V02) (528GE) Rochester,"10,412","10,142",97.41%,270,2.59%,,0,,14,,"9,550",11,592,2,200,1,45,0,14,0,11,0,,4.45,4.29,3.13
"(V02) (528) Syracuse, NY","50,802","46,412",91.36%,"4,390",8.64%,,8,,4,,"43,895",3,"2,517",0,"2,145",1,"1,013",0,450,0,782,0,,2.73,15.88,3.04,
"",(V02) (528A7) Syracuse,"30,371","26,621",87.65%,"3,750",12.35%,,0,,2,,"24,801",1,"1,820",0,"1,656",1,906,0,431,0,757,0,,3.88,17.26,3.45
"",(V02) (528G5) Auburn,"1,991","1,980",99.45%,11,0.55%,,0,,1,,"1,969",1,11,0,2,0,1,0,1,0,7,0,,1.84,7.24,0.67
"",(V02) (528G9) Cortland,"2,087","2,069",99.14%,18,0.86%,,0,,0,,"2,055",0,14,0,8,0,2,0,1,0,7,0,,1.17,1.21,2.87
"",(V02) (528GL) Massena,"2,447","2,404",98.24%,43,1.76%,,0,,0,,"2,364",0,40,0,20,0,19,0,1,0,3,0,,1.06,23.66,1.31
"",(V02) (528GM) Rome,"4,859","4,831",99.42%,28,0.58%,,0,,0,,"4,686",0,145,0,19,0,5,0,2,0,2,0,,1.30,3.54,3.20
"",(V02) (528GN) Binghamton,"2,373","2,152",90.69%,221,9.31%,,0,,0,,"1,992",0,160,0,155,0,59,0,6,0,1,0,,2.70,17.08,1.93
"",(V02) (528GO) Carthage,"4,250","3,953",93.01%,297,6.99%,,0,,1,,"3,654",1,299,0,273,0,19,0,5,0,0,0,,7.35,12.61,3.91
"",(V02) (528GP) Oswego,"2,422","2,400",99.09%,22,0.91%,,0,,0,,"2,372",0,28,0,12,0,2,0,3,0,5,0,,2.23,4.51,1.52
"",(V02) (528MA) Watertown DES,2,2,100.00%,0,0.00%,,0,,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,0.00,
"(V03) (526) Bronx, NY",,"20,912","20,593",98.47%,319,1.53%,,1,,0,,"19,897",0,696,0,277,0,40,0,1,0,1,0,,1.86,2.66,1.90
"",(V03) (526) Bronx,"20,002","19,693",98.46%,309,1.54%,,0,,0,,"19,010",0,683,0,268,0,39,0,1,0,1,0,,2.26,2.67,1.95
"",(V03) (526GA) White Plains,295,292,98.98%,3,1.02%,,0,,0,,287,0,5,0,3,0,0,0,0,0,0,0,,1.37,0.00,0.82
"",(V03) (526GB) Yonkers,516,509,98.64%,7,1.36%,,0,,0,,501,0,8,0,6,0,1,0,0,0,0,0,,0.27,0.00,2.17
"",(V03) (526GD) Queens,99,99,100.00%,0,0.00%,,0,,0,,99,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.50,0.00
"(V03) (561) New Jersey HCS, NJ","42,221","39,425",93.38%,"2,796",6.62%,,48,,20,,"36,824",6,"2,601",0,"2,203",2,481,12,78,0,34,0,,1.84,8.09,2.58,
"",(V03) (561) New Jersey HCS‐East Orange Campus,"18,222","16,293",89.41%,"1,929",10.59%,,0,,2,,"14,622",2,"1,671",0,"1,583",0,288,0,43,0,15,0,,1.85,9.55,3.75
"","(V03) (561A4) New Jersey HCS, NJ ‐ Lyons Campu","7,686","7,298",94.95%,388,5.05%,,0,,6,,"6,651",4,647,0,328,2,39,0,14,0,7,0,,3.84,7.28,3.21
"",(V03) (561BU) Lyons DCHV,282,282,100.00%,0,0.00%,,0,,0,,282,0,0,0,0,0,0,0,0,0,0,0,,,,
"",(V03) (561BZ) Brick,"8,969","8,541",95.23%,428,4.77%,,0,,11,,"8,337",0,204,0,255,0,149,11,19,0,5,0,,1.82,7.07,2.55
"",(V03) (561GA) Hamilton,335,334,99.70%,1,0.30%,,0,,0,,325,0,9,0,0,0,0,0,0,0,1,0,,1.54,12.80,1.44
"",(V03) (561GB) Elizabeth,363,362,99.72%,1,0.28%,,0,,0,,341,0,21,0,1,0,0,0,0,0,0,0,,2.55,7.86,4.03
"",(V03) (561GD) Hackensack/Bergen County,"2,996","2,980",99.47%,16,0.53%,,0,,1,,"2,969",0,11,0,9,0,1,1,2,0,4,0,,2.14,0.45,0.38
"",(V03) (561GE) Jersey City,526,517,98.29%,9,1.71%,,0,,0,,511,0,6,0,8,0,1,0,0,0,0,0,,0.39,9.14,2.14
"",(V03) (561GF) Piscataway,550,548,99.64%,2,0.36%,,0,,0,,537,0,11,0,0,0,1,0,0,0,1,0,,1.42,6.00,1.89
"",(V03) (561GH) Morristown,861,844,98.03%,17,1.97%,,0,,0,,841,0,3,0,17,0,0,0,0,0,0,0,,0.19,0.03,4.91
"",(V03) (561GI) Tinton Falls,"1,078","1,075",99.72%,3,0.28%,,0,,0,,"1,060",0,15,0,2,0,1,0,0,0,0,0,,0.16,0.61,1.20
"",(V03) (561GJ) Paterson,353,351,99.43%,2,0.57%,,0,,0,,348,0,3,0,0,0,1,0,0,0,1,0,,0.92,0.00,1.04
"(V03) (620) VA Hudson Valley HCS, NY","22,555","22,062",97.81%,493,2.19%,,4,,52,,"21,175",10,887,5,429,15,48,9,5,8,11,5,,4.45,3.45,2.32,
"",(V03) (620) VA Hudson Valley HCS‐Montrose Ca,"5,566","5,527",99.30%,39,0.70%,,0,,6,,"5,338",5,189,0,27,0,8,1,0,0,4,0,,7.11,2.53,2.12
"",(V03) (620A4) VA Hudson Valley HCS‐Castle Point,"10,954","10,674",97.44%,280,2.56%,,0,,44,,"10,247",3,427,5,242,15,31,8,4,8,3,5,,4.03,3.40,2.06
"",(V03) (620BU) VADOM Montrose,29,27,93.10%,2,6.90%,,0,,0,,26,0,1,0,0,0,0,0,0,0,2,0,,,,
"",(V03) (620GA) New City (Rockland County),"1,716","1,704",99.30%,12,0.70%,,0,,1,,"1,632",1,72,0,11,0,0,0,1,0,0,0,,4.35,2.92,2.47
"",(V03) (620GB) Carmel (Putnam County),596,587,98.49%,9,1.51%,,0,,0,,568,0,19,0,9,0,0,0,0,0,0,0,,1.05,3.71,0.70
"",(V03) (620GD) Goshen,"1,333","1,270",95.27%,63,4.73%,,0,,0,,"1,210",0,60,0,63,0,0,0,0,0,0,0,,3.20,6.50,3.62
"",(V03) (620GE) Port Jervis,"1,122","1,108",98.75%,14,1.25%,,0,,1,,"1,078",1,30,0,13,0,1,0,0,0,0,0,,1.44,1.40,0.31
"",(V03) (620GF) Harris (Monticello),462,437,94.59%,25,5.41%,,0,,0,,415,0,22,0,19,0,6,0,0,0,0,0,,3.71,5.44,8.41
"",(V03) (620GG) Poughkeepsie,554,509,91.88%,45,8.12%,,0,,0,,447,0,62,0,41,0,2,0,0,0,2,0,,9.59,10.39,4.83
"",(V03) (620GH) Eastern Dutchess,216,212,98.15%,4,1.85%,,0,,0,,207,0,5,0,4,0,0,0,0,0,0,0,,2.43,1.64,0.43
"",(V03) (620MA) IDES West Point,7,7,100.00%,0,0.00%,,0,,0,,7,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00
"(V03) (630) New York Harbor HCS, NY","54,248","53,609",98.82%,639,1.18%,,6,,12,,"52,287",4,"1,322",1,531,1,84,6,14,0,10,0,,1.50,2.42,1.25,
"",(V03) (630) New York Harbor HCS‐New York Cam,"19,605","19,281",98.35%,324,1.65%,,0,,4,,"18,567",0,714,0,275,1,41,3,5,0,3,0,,0.75,2.89,1.57
"",(V03) (630A4) New York Harbor HCS‐Brooklyn Ca,"32,226","31,939",99.11%,287,0.89%,,0,,6,,"31,373",3,566,1,233,0,39,2,9,0,6,0,,2.75,1.97,0.94
"",(V03) (630A5) New York Harbor HCS‐St. Albans C,"1,420","1,403",98.80%,17,1.20%,,0,,2,,"1,375",1,28,0,16,0,1,1,0,0,0,0,,0.51,2.01,0.09
