CO/VISN,Office/Facility,Station,Occupation,Specialty,Specialty Name,NbrEmps,ID
CO,Academic Affiliations (10A2D),101,602,56,PHYS IN CO                   ,1,
CO,Chief Business Office (10NB),101,602,21,GEN INTERNAL MED             ,1,
CO,Chief Business Office (10NB),101,602,P1,PRIMARY CARE                 ,1,
CO,Chief Business Office (10NB),101,610,G5,"RN,FACILITY ADMIN            ",1,
CO,Nursing (10A1),101,610,Q5,"RN, TNC STAFF                ",2,
CO,Public Health (10P3),101,602,21,GEN INTERNAL MED             ,1,
CO,Revenue Operations,101,610,G5,"RN,FACILITY ADMIN            ",4,
1,"HCS Maine - Togus (Augusta, ME)",402,602,5,MEDICAL ONCOLOGY             ,1,
1,"HCS Maine - Togus (Augusta, ME)",402,602,29,ENDOCRIN AND METAB           ,1,
1,"HCS Maine - Togus (Augusta, ME)",402,602,31,PSYCHIATRY                   ,4,
1,"HCS Maine - Togus (Augusta, ME)",402,602,44,PHYS MED & REHAB             ,1,
1,"HCS Maine - Togus (Augusta, ME)",402,602,49,FAMILY PRACTICE              ,1,
1,"HCS Maine - Togus (Augusta, ME)",402,602,E6,CARDIOLOGY NON-INTER         ,1,
1,"HCS Maine - Togus (Augusta, ME)",402,602,P1,PRIMARY CARE                 ,2,
1,"HCS Maine - Togus (Augusta, ME)",402,610,87,"RN,MGR/HEAD NURSE            ",1,
1,"HCS Maine - Togus (Augusta, ME)",402,610,88,STAFF NURSE                  ,3,
1,"HCS Maine - Togus (Augusta, ME)",402,610,Q1,RN/STAFF-OUTPATIENT          ,4,
1,"HCS Maine - Togus (Augusta, ME)",402,610,Q2,RN/STAFF-MIXED               ,3,
1,"HCS Maine - Togus (Augusta, ME)",402,610,Q3,RN-TELEPHONE TRIAGE          ,1,
1,"VAMC White River Jct, VT",405,602,27,NEPHROLOGY                   ,1,
1,"VAMC White River Jct, VT",405,602,30,NEUROLOGY                    ,1,
1,"VAMC White River Jct, VT",405,602,40,GERIATRICS                   ,1,
1,"VAMC White River Jct, VT",405,602,44,PHYS MED & REHAB             ,1,
1,"VAMC White River Jct, VT",405,602,P1,PRIMARY CARE                 ,2,
1,"VAMC White River Jct, VT",405,602,R4,VASCULAR SURGERY             ,1,
1,"VAMC White River Jct, VT",405,610,0,MISC TITLE 38/WA/CL          ,1,
1,"VAMC White River Jct, VT",405,610,75,NURSE PRACTIONER             ,3,
1,"VAMC White River Jct, VT",405,610,87,"RN,MGR/HEAD NURSE            ",2,
1,"VAMC White River Jct, VT",405,610,88,STAFF NURSE                  ,6,
1,"VAMC White River Jct, VT",405,610,N4,NP MENTAL HEALTH SUD         ,1,
1,"VAMC White River Jct, VT",405,610,Q1,RN/STAFF-OUTPATIENT          ,1,
1,"VAMC White River Jct, VT",405,610,Q2,RN/STAFF-MIXED               ,3,
19,HCS Montana (Ft Harrison),436,602,3,GYNECOLOGY                   ,1,
19,HCS Montana (Ft Harrison),436,602,12,UROLOGY                      ,2,
19,HCS Montana (Ft Harrison),436,610,88,STAFF NURSE                  ,1,
19,HCS Montana (Ft Harrison),436,610,G6,RN/PROG MGR/COORD            ,1,
19,HCS Montana (Ft Harrison),436,610,M1,"RN,ADMIS/DISCHG CORD         ",1,
19,HCS Montana (Ft Harrison),436,610,Q1,RN/STAFF-OUTPATIENT          ,5,
19,HCS Montana (Ft Harrison),436,610,Q2,RN/STAFF-MIXED               ,1,
19,HCS Montana (Ft Harrison),436,610,S6,"RN, GEN CLIN CONSLT          ",1,
23,"HCS Fargo, ND",437,602,12,UROLOGY                      ,1,
23,"HCS Fargo, ND",437,602,16,EMERGENCY MEDICINE           ,1,
23,"HCS Fargo, ND",437,602,21,GEN INTERNAL MED             ,1,
23,"HCS Fargo, ND",437,602,31,PSYCHIATRY                   ,1,
23,"HCS Fargo, ND",437,610,71,"RN,RECRUITER                 ",1,
23,"HCS Fargo, ND",437,610,75,NURSE PRACTIONER             ,2,
23,"HCS Fargo, ND",437,610,85,RN EDUCATOR                  ,1,
23,"HCS Fargo, ND",437,610,88,STAFF NURSE                  ,5,
23,"HCS Fargo, ND",437,610,M2,RN/CASE MGR/CARE             ,3,
23,"HCS Fargo, ND",437,610,Q1,RN/STAFF-OUTPATIENT          ,3,
23,"HCS Sioux Falls, SD",438,602,3,GYNECOLOGY                   ,1,
23,"HCS Sioux Falls, SD",438,602,31,PSYCHIATRY                   ,1,
