Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
VHA,0602 Physician (All Specialties),0.0821,0.0854,0.0812,0.0884,0.0887,
VHA,01 ANESTHESIOLOGY,0.0867,0.0748,0.066,0.0794,0.0836,
VHA,02 SURGERY,0.0935,0.1059,0.0919,0.1035,0.0952,
VHA,03 GYNECOLOGY,0.0898,0.0766,0.0493,0.0981,0.0972,
VHA,05 MEDICAL ONCOLOGY,0.0516,0.0593,0.0925,0.0429,0.1045,
VHA,06 OPHTHALMOLOGY,0.1007,0.1008,0.1076,0.1279,0.1039,
VHA,07 ORTHOPEDIC SURGERY,0.0831,0.0992,0.1163,0.0991,0.1078,
VHA,08 OTOLARYNGOLOGY,0.1362,0.1362,0.1432,0.0828,0.1059,
VHA,09 PLASTIC SURGERY,0.1104,0.0714,0.0753,0.0781,0.0843,
VHA,10 COLON & RECTAL SURG,-,0.0882,0.0719,0.071,0.0727,
VHA,11 THORACIC SURGERY,0.0534,0.0395,0.1136,0.0786,0.1268,
VHA,12 UROLOGY,0.0746,0.0964,0.0922,0.094,0.0986,
VHA,13 PHYSIATRY,0.132,0.1135,0.0909,0.0402,0.0425,
VHA,16 EMERGENCY MEDICINE,0.1013,0.1013,0.075,0.0912,0.0976,
VHA,18 HEMATOLOGY,0.0681,0.1091,0.1145,0.1112,0.0632,
VHA,19 INFECTIOUS DISEASES,0.039,0.0423,0.0642,0.0595,0.0486,
VHA,20 DERMATOLOGY,0.0829,0.0969,0.0907,0.1025,0.1125,
VHA,21 GEN INTERNAL MED,0.0801,0.0798,0.0676,0.0838,0.09,
VHA,23 ALLERGY & IMMUNOLOGY,0.0237,0.1047,0.0993,0.1043,0.0655,
VHA,25 GASTROENTEROLOGY,0.1336,0.0695,0.0983,0.0731,0.0885,
VHA,26 PULMONARY DISEASES,0.0588,0.0722,0.0459,0.0793,0.0709,
VHA,27 NEPHROLOGY,0.0643,0.0659,0.0679,0.071,0.0731,
VHA,28 RHEUMATOLOGY,0.0506,0.0384,0.0835,0.0954,0.0644,
VHA,29 ENDOCRIN AND METAB,0.048,0.0343,0.0488,0.095,0.0848,
VHA,30 NEUROLOGY,0.0764,0.0754,0.0406,0.0743,0.0776,
VHA,31 PSYCHIATRY,0.0801,0.0889,0.0898,0.0928,0.084,
VHA,32 ANATOMIC PATHOLOGY,0.1193,0.0891,0.0147,0.0617,0.0933,
VHA,33 CLINICAL PATHOLOGY,0.0597,-,0.0535,0.1098,0.0289,
VHA,34 ADV GERIATRIC FELLOW,0.2813,0.3158,0.2892,0.6486,0.4615,
VHA,35 CLINICAL SCHOLAR-RWJ,0.3636,0.4118,0.3853,0.4303,0.4301,
VHA,36 PREVENTIVE MEDICINE,0.1527,0.0465,0.186,0.0726,0.0515,
VHA,37 ADV SPINAL CORD FELW,-,0.375,0.8182,-,1,
VHA,38 RADIOLOGY-DIAGNOSTIC,0.065,0.0658,0.0876,0.069,0.0875,
VHA,39 RADIOLOGY-THERAPEU,0.1796,0.0364,0.0331,0.0952,0.1595,
VHA,40 GERIATRICS,0.0496,0.0669,0.0331,0.0683,0.0657,
VHA,41 PAIN MGMT/ANESTH,-,-,-,-,0.1121,
VHA,42 PARAPLEGIA,-,0.0816,-,-,-,
VHA,43 PATHOLOGY,0.0484,0.0857,0.0685,0.0524,0.09,
VHA,44 PHYS MED & REHAB,0.0456,0.0615,0.055,0.0653,0.0462,
VHA,45 RADIOLOGY-INTERVENT,0.0807,0.0483,0.0657,0.0839,0.0559,
VHA,46 NUCLEAR MEDICINE,0.0924,0.0611,0.1015,0.0651,0.0722,
VHA,47 RESEARCH-CAREER DEV,0.1481,0.0306,-,0.0284,-,
VHA,48 RESEARCH,-,0.0164,0.0329,0.0303,0.0699,
VHA,49 FAMILY PRACTICE,0.1279,0.1107,0.0941,0.115,0.1251,
VHA,50 ADMITTING PHYSICIAN,-,-,-,0.0541,0.1946,
VHA,51 CHIEF OF STAFF,0.0587,0.056,0.045,0.0737,0.0513,
VHA,53 ASSOC CH/STAFF--EDUC,-,0.0543,0.0909,0.0857,0.0263,
VHA,54 ASSOC COS RES & DEV,0.1212,0.0583,0.1345,0.0857,0.0588,
VHA,55 DIRECTOR,-,0.0448,0.1627,0.1014,0.1151,
VHA,56 PHYS IN CO,0.0716,0.0876,0.1309,0.0992,0.1038,
VHA,"57 PHYS--ADMIN, OTHER",0.0741,0.1062,0.1052,0.0592,0.1069,
VHA,58 ASST CHIEF OF STAFF,0.0854,0.0373,0.0767,0.1192,0.0381,
VHA,59 ASSOC COS AMBUL CARE,0.0217,0.0918,0.0233,0.1336,0.0714,
VHA,63 GENERAL PRACTICE,-,-,-,-,0.0769,
VHA,CA CARDIOLOGY NON-INVAS,-,-,-,-,0.0544,
VHA,CC PAIN MANAGEMENT,-,-,-,-,0.2632,
VHA,E1 ASSOC COS EXT CARE,-,0.0719,0.1935,0.1237,-,
