,Location,Station,ID
8,"(V02) (528) Albany, NY",528,528al
9,"(V02) (528) Bath, NY",528,528ba
10,"(V02) (528) Western New York, NY",528,528we
11,"(V02) (528) Canandaigua, NY",528,528ca
12,"(V02) (528) Syracuse, NY",528,528sy
79,"(V15) (589) Columbia, MO",589,589co
80,"(V15) (589) Kansas City, MO",589,589ka
81,"(V15) (589) Eastern KS HCS, KS",589,589ea
82,"(V15) (589) Wichita, KS",589,589wi
83,"(V15) (657) Marion, IL",657,657ma
84,"(V15) (657) Poplar Bluff, MO",657,657po
85,"(V15) (657) St. Louis, MO",657,657st
137,"(V23) (636) Central Iowa, IA",636,636ce
138,"(V23) (636) Iowa City, IA",636,636io
139,"(V23) (636) Nebraska‰ÛêW Iowa, NE",636,636ne
